Precio,Ubicación,Ciudad,Expensas,Habitaciones,Baños,Área,Estacionamientos,Precio/m²,Fecha de Publicación,Descripción,Logo Agencia,Destacado
USD 216.320,Gonzalo Endara Crown,"Monteserrín, Quito",USD 1 Alícuota,3 hab.,2 baños,152 m² tot.,2 estac.,N/A,N/A,"Metro Asesores vende departamento en Edificio de primera de 128m2, con 3 dormitorios, 2 baños, 2 parqueaderos y bodega. Edificio con excelentes áreas comunales Terraza con salón comunal, área bbq, Bar, Green Garden, spa, Fire Place, Party Place Y Playground. Seguridad 24/7. Primer piso. Ubicación privilegiada en Monteserrín, cerca de la Academia Cotopaxi y vías principales como Av. Eloy Alfaro, Av. De los Granados. Edificio de cinco pisos con excelentes acabados. Urbanización Cerrada con excelente seguridad. Descripción departamento. · Superficie 128m2 en piso flotante. · Sala-Comedor en un solo ambiente con salida a patio lateral. · Cocina abierta estilo americana con muebles altos y bajos, mesones de granito o cuarzo, desayunador. · Área de máquinas. · Dormitorio master con closet, vestidor y baño privado. · Dos dormitorios con closet. · Baño completo compartido que cumple función de social. · Bodega interna. · 2 parqueaderos cubiertos. Incluye. · Plancha eléctrica y campana extractora. características del edificio. · Hall de ingreso con doble altura. · Circuito Cerrado de Cámaras. · Ascensor con chip. · Agua caliente centralizada con bombas de calor. · Terraza con Salón comunal. · Área bbq y Bar. · Green Garden, spa con jacuzzi. · Fire Place. · Party Place Y Playground. Precio $ 216. 320, 00. Informes y visitas metro asesores 593- 2- Ver datos",./Plusvalia_raw_p37_060924_2243_files/logo_metro-asesores.jpg,Super destacado
USD 65.000,Ulpiano Paez y Luis Cordero,"Centro Norte, Quito",USD 60 Alícuota,1 hab.,1 baño,43 m² tot.,1 estac.,N/A,N/A,"Suite de venta. sector la mariscal cerca A la colon Y 10 de agosto. $65. 000 / 42, 80 m2. Cocina sala comedor 1 hab. Y un baño completo. Dpto 2do piso con ascensor. Parq. S2 #64 bodega S1 #1. Número de pisos 8. 6 parqueaderos de visitas. áreas comunales: bbq en la Terraza. Lavadoras y secadoras comunal. Guardiania 24/7. $71 Alícuota incluye planilla de agua y gas del dpto. Planilla de luz se cancela aparte. Año de construcción 2010",./Plusvalia_raw_p37_060924_2243_files/logo_re-max-asesoria-inmobiliaria_1724768437098.jpg,Super destacado
USD 245.000,José Bosmediano  y Augusto Egas,"Bellavista, Quito",USD 205 Alícuota,3 hab.,3 baños,228 m² tot.,2 estac.,N/A,N/A,"Metro Asesores vende departamento de 185, 59m2 de construcción, 3 dormitorios, 3 ½ baños, 2 parqueaderos cubiertos y 1 bodega. Ubicación privilegiada en Bellavista, sector residencial, cerca de vías principales como Av. 6 de diciembre y Av. Eloy Alfaro. Frente a la embajada de Suiza, cerca de Ecuavisa y la Casa de Guayasamín. 6 años de antigüedad. Ubicado en el segundo piso alto. En excelente estado y con vista. Descripción del departamento. • Superficie 185, 59m2 en todo el departamento en piso de chanul lacado. • Hall de ingreso. • Amplia sala comedor. • Cocina independiente con muebles altos y bajos, mesones de granito, espacio para comedor de diario. Incluye Campana extractora, plancha de cocina de inducción, horno eléctrico y microondas. • Área de máquinas cerrada con conexión para lavadora y secadora. • Baño social con mesón de granito, grifería de alta gama y papel tapiz en las paredes. • Sala de estar o familiar. • 2 dormitorios con baño privado completo cada uno y amplio closet. • Amplio dormitorio master (cama de 3 plazas) con vestidor y baño completo con mesón de granito y doble lavamanos. Incluye: • Persianas e Iluminación. • Agua caliente centralizada con bombas de calor. • 2 parqueaderos cubiertos. • 1 bodega. Descripción del edificio. • Video vigilancia y Guardianía 24 horas finde semana y feriados. • Conserje. • Hall ingreso amoblado. • Ascensor con chip y generador eléctrico en áreas comunales. • Amplia terraza con vista, Gimnasio equipado y salón comunal. • 4 parqueaderos de visitas. Precio $ 245. 000, 00 negociables. Condominio mensual $205, 00 incluye agua. Informes y visitas: 593-2-Ver datos",./Plusvalia_raw_p37_060924_2243_files/logo_metro-asesores.jpg,Super destacado
USD 115.000,Av 6 de diciembre y Tomas de Berlanga,"Centro Norte, Quito",USD 97 Alícuota,2 hab.,2 baños,90 m² tot.,1 estac.,N/A,N/A,"Vendo lindo departamento de 2 habitaciones frene al Centro Comercial Rio Centro. De 89, 90 metros. estacionamiento. dos baños completos. sala comerdor y cocina abierta. área de máquinas. Edificio cuenta con: guardianía las 24: 00, gimanasio, área de niños, área de juegos, sauna, turco e hidromasaje, área bbq, salon comunal. Mas información por interno",./Plusvalia_raw_p37_060924_2243_files/logo_inmhogar_1642725793410.jpg,Super destacado
USD 122.930,Pablo Palacios & Avenida la Gasca,"La Gasca, Quito",,3 hab.,3 baños,121 m² tot.,2 estac.,N/A,N/A,"¡Bienvenido a tu nuevo horizonte en La Gasca! Sumérgete en un oasis urbano donde la modernidad se fusiona con la serenidad. Este departamento en planos te invita a descubrir un estilo de vida donde la amplitud y las vistas panorámicas son protagonistas. Paso a paso, adéntrate en un espacio diseñado para elevar tu experiencia de vida. Desde el momento en que cruzas el umbral, serás recibido por una sensación de luminosidad y amplitud. Los amplios ventanales inundan cada rincón con la calidez de la luz natural, mientras que la vista panorámica te invita a contemplar el dinamismo de la ciudad desde la comodidad de tu hogar. La distribución inteligente de este departamento de 3 habitaciones te brinda un flujo armonioso entre los espacios. El área social conectada entre si, se convierte en el epicentro de la convivencia, donde crearás recuerdos inolvidables junto a tus seres queridos. La cocina, equipada con muebles altos y bajos de alta calidad, despierta tu creatividad culinaria mientras disfrutas de la vista inspiradora que se extiende ante ti. Cada habitación es un refugio con su baño privado, diseñados para brindarte el máximo confort y tranquilidad. Los acabados de alta calidad y los detalles cuidadosamente seleccionados añaden un toque de elegancia a cada rincón. Además, el diseño vanguardista se complementa con amenidades exclusivas que elevan tu experiencia de vida a otro nivel. Ubicado estratégicamente en La Gasca, disfrutarás de la conveniencia de tener todo al alcance de tu mano. Desde parques y áreas verdes hasta centros comerciales y restaurantes de primera clase, todo está a pocos pasos de tu puerta.",./Plusvalia_raw_p37_060924_2243_files/logo_rialti-s.a.s._1699394741424.jpg,Super destacado
USD 120.000,DE LAS ALONDRAS,"Amaguaña, Quito",USD 66 Alícuota,3 hab.,2 baños,144 m² tot.,1 estac.,N/A,N/A,"Características del inmueble: Edificio de 4 pisos, ubicado en el piso No. 4, 29 años de antigüedad. - 144 m2 de construcción. - 3 habitaciones. - 2 baños completos. - 1 baño social. - Piso flotante en el área íntima. - Sala comedor. - Piso de tablón en el área social. - Cocina tipo americana. - Muebles altos y bajos en madera. - Mesones en Granito. - Ducha electrica. - Bodega amplia. - Estudio. - Terraza comunal. - Espacio para área de máquinas. - Zona bbq. - 2 Parqueaderos. - No dispone de ascensor. - Se acepta mascota. - Agua y luz independiente. - Precio $ 140. 000. - Alicuota $ 66, 30. Características del Sector: Cercano a líneas de buses, hospitales, colegios, escuelas, supermercados.",./Plusvalia_raw_p37_060924_2243_files/logo_remax-futuro_1536878035365.jpg,Super destacado
USD 130.000,Portugal y Catalina Aldaz,"El Batán, Quito",USD 100 Alícuota,2 hab.,2 baños,80 m² tot.,1 estac.,N/A,N/A,"Vendo departamento 2 dormitorios amoblado balcón 2 baños y medio, cocina americana, parqueadero. Edf. Con piscina spa, gym, squash etc. Sector Catalina Aldaz. *Valor 130. 000* Inf Ver datos",./Plusvalia_raw_p37_060924_2243_files/logo_propiedad-servicios-inmobiliarios_1592489362595.jpg,Super destacado
USD 320.000,Carolina,"La Carolina, Quito",USD 250 Alícuota,2 hab.,2 baños,119 m² tot.,1 estac.,N/A,N/A,"Hermoso departamento piso alto, una de la mejor vista de la ciudad en La Carolina. Departamento en el piso 33. 2 habitaciones (baño privado cada uno. Baño social. Área de maquinas. Línea blanca. 1 parqueo. 1 bodega. Edificio consta de: Piscina (infinita la mejor vista de la ciudad) Área de eventos. Área de juegos infantiles. Área de juegos (billar, futbolito, tenis de mesa, juegos arcade, bar, etc. ) Área de música. spa (hidromasaje, sauna, turco) Sala de cine. gym. Informacion Vilma Muñoz: Ver datos",./Plusvalia_raw_p37_060924_2243_files/logo_accion-a-inmobiliaria_1725474255476.jpg,Super destacado
USD 120.000,Tamayo y Colon,"Centro Norte, Quito",USD 120 Alícuota,3 hab.,2 baños,215 m² tot.,2 estac.,N/A,N/A,"Venta. Departamento dúplex penthouse en el sector Swiss Hotel, listo para remodelar. Excelente vista y ubicación privilegiada en el corazón de Quito, a una cuadra de la Av. Colón y de la Av. 12 de Octubre, a 3 cuadras del Supermaxi y a 5 cuadras de las universidades. El sector ofrece todos los servicios, restaurantes, cafeterías, hoteles y transporte público. Universidadades A pocas cuadras. Planta baja: sala, comedor, cocina y pequeño estudio. Baño social. Planta alta: 3 dormitorios. 2 baños. Gran balcón. 1 parqueo. 1 bodega. Ascensor. 40 años.",./Plusvalia_raw_p37_060924_2243_files/logo_broker-s-asociados_1586986436793.jpg,Super destacado
USD 49.500,El Progreso,"Calderón, Quito",USD 30 Alícuota,3 hab.,2 baños,100 m² tot.,1 estac.,N/A,N/A,Venta departamento super economico- Departamento de 3 dormitorios - En conjunto cerrado en Calderon - Parqueadero - Area de lavanderia - Cancha multiuso - Areas infantiles - Líneas de transporte cercanas - Área de gran desarrollo urbanistico - Dispinibles en 2 y 3 dormitorio - Compra directa a a constructora - Se acepta todo tipo de financiamiento,./Plusvalia_raw_p37_060924_2243_files/logo_daniel-espinosa_1522077775251.jpg,Super destacado
