Precio|Expensas|Dirección|Superficie Total (m²)|Superficie Cubierta (m²)|Ambientes|Baños|Descripción|Agencia|URL Propiedad
152407|1|Cumbaya, Yanazarapata 0|16397|9524|8|2|VENTA CASA DUPLEX CUMBAYA YANAZARAPATA|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/venta-casa-duplex-cumbaya-yanazarapata-2
184200|1|Cumbaya, Yanazarapata 0|19432|12058|8|3|VENTA CASA DUPLEX CUMBAYA YANAZARAPATA|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/venta-casa-duplex-cumbaya-yanazarapata-1
144900|1|Cumbaya, Yanazarapata 0|1452|9303|8|2|VENTA CASA DUPLEX CUMBAYA YANAZARAPATA|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/venta-casa-duplex-cumbaya-yanazarapata
72000|55|Veintimilla y 6 de Diciembre S/N|10163|10163|4|2|SE VENDE DEPARTAMENTO|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/se-vende-departamento-2
75000|30|La Prensa N63 - 141 S/N|12231|11204|5|1|VENTA EXCELENTE DEPARTAMENTO 3D EN COTOCOLLAO|RE/MAX Impacta|https://www.remax.com.ec/listings/venta-excelente-departamento-3d-en-cotocollao
100000|65|Av 6 de Diciembre S/N|56|51|2|1|Suite en Venta Av 6 de Diciembre|RE/MAX Capital|https://www.remax.com.ec/listings/suite-en-venta-av-6-de-diciembre
148000|N/A|Vicente Ramón Roca y Reina Victoria. 0|35864|35864|3|3|Vendo propiedad ideal para invertir, Sct. Mariscal|RE/MAX Impacta|https://www.remax.com.ec/listings/vendo-propiedad-ideal-para-invertir-sct-mariscal-1
63000|30|6 de Diciembre N56-61 y Fresnos 0|8529|8529|1|2|VENDO DEPARTAMENTO CALIFORNIA ALTA|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/vendo-departamento-california-alta
115000|179|Francisco Andrade Marin S/N|139|124|7|3|DEPARTAMENTO EN VENTA 124 M2 SECTOR CAROLINA|RE/MAX Capital|https://www.remax.com.ec/listings/departamento-en-venta-124-m2-sector-carolina
74000|74|De los Cipreses S/N|10225|84|5|2|DEPARTAMENTO EN VENTA SANTA LUCIA|RE/MAX Capital|https://www.remax.com.ec/listings/departamento-en-venta-santa-lucia
98000|120|M. Borrero S/N|1103|1028|4|1|BELLAVISTA DEPT EN PB CON PATIO DE 2D|RE/MAX Futuro|https://www.remax.com.ec/listings/bellavista-dept-en-pb-con-patio-de-2d-1
110000|20|Oe 2b Mariano Pozo 100|1835|1835|6|3|Departamento en venta Ponceano Alto|RE/MAX Impacta|https://www.remax.com.ec/listings/departamento-en-venta-ponceano-alto
180000|170|Jiménez de la Espada S/N|400|200|5|2|En Venta Departamento Jiménez de la Espada|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/en-venta-departamento-jimenez-de-la-espada
65000|N/A|Los Mastodontes S/N|147|93|4|2|Venta Departamento 93m² Sector Mastodontes $65.000|RE/MAX Supremo|https://www.remax.com.ec/listings/venta-departamento-93m-sector-mastodontes-65-000
64000|N/A|Juan Acevedo y Obispo Diaz de la Madrid S/N|133|129|9|2|DEPARTAMENTO DUPLEX EN VENTA133M2Belisario Quevedo|RE/MAX Capital|https://www.remax.com.ec/listings/departamento-duplex-en-venta133m2belisario-quevedo
50000|5|Calle Hualcopo a Una Cuadra del Colegio Paulo Sexto S/N|109|109|6|1|LA MASCOTA VENDE DEPARTAMENTO 109m GARAJE CUBIERTO|RE/MAX Capital|https://www.remax.com.ec/listings/la-mascota-vende-departamento-109m-garaje-cubierto
42000|5|Solanda Carlos Arboleda y Av. Teniente Hugo Ortiz S/N|673|611|5|1|SE VENDE DEPARTAMENTO - LOCAL COMERCIAL - SOLANDA|RE/MAX Advance|https://www.remax.com.ec/listings/se-vende-departamento-local-comercial-solanda-1
140000|49|Vicente Ramón Roca S/N|153|140|3|2|VENTA DEPARTAMENTO AMOBLADO SECTOR 12 DE OCTUBRE|RE/MAX Supremo|https://www.remax.com.ec/listings/venta-departamento-amoblado-sector-12-de-octubre
84000|15|Manuel Lizarzaburo y Joaquin Sumaita S/N|1344|120|6|2|VENTA DEPARTAMENTO DAMMER 1|RE/MAX Impacta|https://www.remax.com.ec/listings/venta-departamento-dammer-1
85000|30|De Las Azucenas y Granados S/N|16153|12965|6|2|VENTA DEPARTAMENTO MONTESERRÍN TERRAZA|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/venta-departamento-monteserrin-terraza
89000|80|Republica del Salvador y Portugal S/N|54|54|2|1|Venta Suite Amoblada en República del Salvador|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/venta-suite-amoblada-en-republica-del-salvador
35000|N/A|Alfareros S/N|46|46|3|1|Suite en venta cotocollao|RE/MAX Empire|https://www.remax.com.ec/listings/suite-en-venta-cotocollao
110000|79|Santa María S/N|12264|12264|8|3|VENDO DEPARTAMENTO LA COLON 123m2 $110,000|RE/MAX Capital|https://www.remax.com.ec/listings/vendo-departamento-la-colon-123m2-110-000
145000|140|Av. de los Granados S/N|153|153|4|2|SE VENDE DEPARTAMENTO DE 118 M2 SECTOR GRANADOS|RE/MAX Capital|https://www.remax.com.ec/listings/se-vende-departamento-de-118-m2-sector-granados
