Precio|Expensas|Dirección|Superficie Total (m²)|Superficie Cubierta (m²)|Ambientes|Baños|Descripción|Agente|Oficina|URL Propiedad|Whatsapp|Teléfono|Correo|Foto Agente
146.349 USD|+ 40 USD expensas|Pasaje Dolomitas y de los Naranjos S/N|121.91|121.91|5|1|Departamento en Venta Monteserrin 121,91m2 B12|Yury Chirinos|RE/MAX Capital|https://www.remax.com.ec/listings/departamento-en-venta-monteserrin-121-91m2-b12|Sí|Sí|Sí|https://d2hy2ig0r5r41b.cloudfront.net/agents/099921bb-45d5-47a8-82a1-62db4c80c0dd/180x180/agentimage65_17_08_2022_05_11_56.webp?
110.000 USD|+ 60 USD expensas|Versalles S/N|215|204|6|2|Santa Clara, Versalles, Dpto venta 3 dormitorios|Gabriel Grey|RE/MAX Capital|https://www.remax.com.ec/listings/santa-clara-versalles-dpto-venta-3-dormitorios|Sí|Sí|Sí|https://d2hy2ig0r5r41b.cloudfront.net/agents/8994eeba-d3f9-40fd-b1a9-aef2178be8d1/180x180/agentimage31_13_09_2022_04_02_09.webp?
73.000 USD|+ 78 USD expensas|El Bosque Segunda Transversal S/N|73|58|3|1|Suite de venta, hermosa, moderna, El Bosque. 58 m2|Gabriel Grey|RE/MAX Capital|https://www.remax.com.ec/listings/suite-de-venta-hermosa-moderna-el-bosque-58-m2|Sí|Sí|Sí|https://d2hy2ig0r5r41b.cloudfront.net/agents/8994eeba-d3f9-40fd-b1a9-aef2178be8d1/180x180/agentimage31_13_09_2022_04_02_09.webp?
74.900 USD|+ 80 USD expensas|Rusia S/N|59.7|45.1|4|1|SUITE DE 45,10 m2 EN VENTA, LA CAROLINA|Álvaro Santiago Pabón Romo|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/suite-de-45-10-m2-en-venta-la-carolina|Sí|Sí|Sí|https://d2hy2ig0r5r41b.cloudfront.net/agents/d14a6afb-aa4b-4e7f-87ab-84f17abed15a/180x180/agentimage1002940128_28_08_2024_03_09_32_774.webp?
159.000 USD|+ 84 USD expensas|Eloy Alfaro S/N|108|105|6|2|Departamento Venta Batan Alto 105m2 3dor 2par 1bod|Lusi Pinargotti|RE/MAX Capital|https://www.remax.com.ec/listings/departamento-venta-batan-alto-105m2-3dor-2par-1bod|Sí|Sí|Sí|https://d2hy2ig0r5r41b.cloudfront.net/agents/c5d1437a-39d2-4ca0-9331-2eb6c6eed598/180x180/agentimage30_10_03_2023_11_09_40.webp?
199.000 USD|+ 67 USD expensas|Mariano Echeverria & Francisco de Nates S/N|166.54|166.54|2|3|Departamento 3D a estrenar en venta - Quito Tenis|Iván Sebastián Quintana Sánchez|RE/MAX Impacta|https://www.remax.com.ec/listings/departamento-3d-a-estrenar-en-venta-quito-tenis|Sí|Sí|Sí|https://d2hy2ig0r5r41b.cloudfront.net/agents/fc9ec6d3-a9d6-4ffa-babb-722738a50ea9/180x180/agentimage568_26_07_2023_10_19_00.webp?
87.500 USD|+ 74 USD expensas|De los Cipreses, Conjunto Toulousse S/N|101.95|101.95|7|2|Departamento Conjunto Toulouse norte de Quito|Jorge Espinoza|RE/MAX Advance|https://www.remax.com.ec/listings/departamento-conjunto-toulouse-norte-de-quito|Sí|Sí|Sí|https://d2hy2ig0r5r41b.cloudfront.net/agents/5de16edf-da05-43ac-8a6b-64264f3c3fed/180x180/agentimage1711706778_30_08_2024_01_33_17_801.webp?
42.800 USD|+ 1 USD expensas|Miguel Riofrio S/N|87.01|72.01|4|1|En Venta Departamento a estrenar|Fernando Francisco Borja Benavides|RE/MAX Impacta|https://www.remax.com.ec/listings/en-venta-departamento-a-estrenar|Sí|Sí|Sí|https://d2hy2ig0r5r41b.cloudfront.net/agents/70673de7-9ff6-4d17-9f96-af3ba71485ff/180x180/agentimage1059_21_07_2023_10_55_39.webp?
38.000 USD|N/A|Manuel Coronado S/N|76|62.5|4|1|DEPARTAMENTO EN VENTA SECTOR COMERCIAL CHILLOGALLO|Luis Fernando Beltran|RE/MAX Advance|https://www.remax.com.ec/listings/departamento-en-venta-sector-comercial-chillogallo|Sí|Sí|Sí|https://d2hy2ig0r5r41b.cloudfront.net/agents/020d1769-987b-4ae9-9de8-65d68210720e/180x180/agentimage401520523_30_08_2024_02_00_38_749.webp?
118.000 USD|+ 110 USD expensas|Urbanización el Condado 300|155.53|155.53|8|2|SE VENDE DEPARTAMENTO URB EL CONDADO|Carolina Aguilar|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/se-vende-departamento-urb-el-condado-1|Sí|Sí|Sí|https://d2hy2ig0r5r41b.cloudfront.net/agents/cb3ee71c-16fb-4dba-8159-22dd7f9b762a/180x180/agentimage1710228931_28_08_2024_03_25_21_782.webp?
