Precio|Ubicación|Área|Habitaciones|Baños|Agencia|Fecha Publicación
124000|Ponceano, Norte De Quito, Quito, Pichincha|144|3|3|GS CONSTRUCCIONES Y BIENES RAÍCES|Publicado 13/06/2024
270000|Gonzalez Suarez, Iñaquito, Centro Norte, Quito, Pichincha|164|2|3|Inmoejecutivos|Publicado 22/07/2024
220000|Cumbaya, Valle Tumbaco, Quito, Pichincha|155|3|2|Inmoejecutivos|Publicado 28/06/2024
98000|El Batan, Iñaquito, Centro Norte, Quito, Pichincha|95|3|3|FREDDY CABRERA - BIENES RAÍCES|Publicado 26/06/2024
683000|Cumbaya, Valle Tumbaco, Quito, Pichincha|527|4|5|Proyectos con Futuro|Publicado 13/03/2024
156000|Cumbaya, Valle Tumbaco, Quito, Pichincha|110|2|3|Emma Barragán|Publicado hace 1 semana, 6 días
90000|Bellavista, Iñaquito, Centro Norte, Quito, Pichincha|70|2|2|Emma Barragán|Publicado hace 1 semana, 6 días
118000|El Batan, Iñaquito, Centro Norte, Quito, Pichincha|120|3|2|Inmoejecutivos|Publicado 19/06/2023
229000|Cumbaya, Valle Tumbaco, Quito, Pichincha|186|2|2|Inmoejecutivos|Publicado 09/07/2024
149600|Centro Norte, Quito, Pichincha|86|2|3|Intramuros Constructora|Publicado 16/07/2024
106515|Cumbaya, Valle Tumbaco, Quito, Pichincha|55|1|1|Intramuros Constructora|Publicado 11/07/2024
305652|Cumbaya, Valle Tumbaco, Quito, Pichincha|159|3|4|Intramuros Constructora|Publicado 11/07/2024
134000|Bellavista, Iñaquito, Centro Norte, Quito, Pichincha|136|3|3|Emma Barragán|Publicado hace 1 semana, 6 días
220000|El Bosque, Cochapamba, Centro Norte, Quito, Pichincha|327|4|5|Emma Barragán|Publicado hace 3 semanas
245000|Bellavista, Iñaquito, Centro Norte, Quito, Pichincha|300|4|5|Emma Barragán|Publicado hace 1 semana, 6 días
94000|El Condado, Norte De Quito, Quito, Pichincha|116|2|3|Emma Barragán|Publicado hace 1 semana, 6 días
110000|Centro Norte, Quito, Pichincha|79|1|2|Intramuros Constructora|Publicado 16/07/2024
300551|Centro Norte, Quito, Pichincha|157|3|3|Intramuros Constructora|Publicado 16/07/2024
428502|Cumbaya, Valle Tumbaco, Quito, Pichincha|249|3|4|Intramuros Constructora|Publicado 16/07/2024
627486|Cumbaya, Valle Tumbaco, Quito, Pichincha|464|3|4|Intramuros Constructora|Publicado 16/07/2024
140056|Cumbaya, Valle Tumbaco, Quito, Pichincha|88|1|2|Intramuros Constructora|Publicado 16/07/2024
130710|Cumbaya, Valle Tumbaco, Quito, Pichincha|68|1|2|Intramuros Constructora|Publicado 16/07/2024
181342|Cumbaya, Valle Tumbaco, Quito, Pichincha|95|2|2|Intramuros Constructora|Publicado 11/07/2024
169279|Cumbaya, Valle Tumbaco, Quito, Pichincha|94|2|2|Intramuros Constructora|Publicado 11/07/2024
202578|Cumbaya, Valle Tumbaco, Quito, Pichincha|147|2|3|Intramuros Constructora|Publicado 16/07/2024
188075|Cumbaya, Valle Tumbaco, Quito, Pichincha|101|2|2|Intramuros Constructora|Publicado 11/07/2024
169000|Bellavista, Iñaquito, Centro Norte, Quito, Pichincha|97|2|2|AB&MD Gestión Inmobiliaria By KSA|Publicado 25/04/2024
145000|Centro Norte, Quito, Pichincha|90|2|2|Sandra Rodríguez|Publicado 07/08/2024
128000|La Carolina, Iñaquito, Centro Norte, Quito, Pichincha|67|1|2|Sandra Rodríguez|Publicado 06/08/2024
269000|Quito Tenis, Centro Norte, Quito, Pichincha|269|3|3|Sandra Rodríguez|Publicado 05/08/2024
