Precio|Expensas|Dirección|Superficie Total (m²)|Superficie Cubierta (m²)|Ambientes|Baños|Descripción|Agencia|URL Propiedad
8021646|40|Pasaje Dolomitas y de los Naranjos S/N|5453|5453|5|1|Monteserrín departamento nuevo|RE/MAX Capital|https://www.remax.com.ec/listings/monteserrin-departamento-nuevo-14
9550811|40|Pasaje Dolomitas y de los Naranjos S/N|6813|6813|5|1|Monteserrín departamento nuevo|RE/MAX Capital|https://www.remax.com.ec/listings/monteserrin-departamento-nuevo-13
1732397|40|Pasaje Dolmita y de los Naranjos S/N|12253|12253|7|2|Monteserrín departamento nuevo|RE/MAX Capital|https://www.remax.com.ec/listings/monteserrin-departamento-nuevo-12
15518712|40|Pasaje Dolmitas y de los Naranjos S/N|1128|1128|5|2|Monteserrín departamento nuevo|RE/MAX Capital|https://www.remax.com.ec/listings/monteserrin-departamento-nuevo-11
1260963|40|Pasaje Dolmitas y de los Naranjos S/N|8949|8949|6|1|Monteserrín departamento nuevo|RE/MAX Capital|https://www.remax.com.ec/listings/monteserrin-departamento-nuevo-10
194900|170|De Las Alondras S/N|328|164|4|2|Departamento de Venta Dentro de Conjunto en Montes|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/departamento-de-venta-dentro-de-conjunto-en-montes
45000|20|Avenida Manuel Córdova Galarza y García Moreno S/N|736|621|4|1|DEPARTAMENTO DE VENTA POMASQUI|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/departamento-de-venta-pomasqui
115000|70|Avenida Río Amazonas S/N|87|87|3|2|DEPARTAMENTO DE ARRIENDO LA CAROLINA|RE/MAX Futuro|https://www.remax.com.ec/listings/departamento-de-arriendo-la-carolina
43000|1|Huiragchuros 500|427|30|5|1|Suite venta Pomasqui Conj Porton De Sevilla 43 m2|RE/MAX Capital|https://www.remax.com.ec/listings/suite-venta-pomasqui-conj-porton-de-sevilla-43-m2
173000|210|Luxemburgo y Holanda S/N|147|147|10|2|Departamento Luxemburgo sector Carolina|RE/MAX Traditions|https://www.remax.com.ec/listings/departamento-luxemburgo-sector-carolina-1
75000|40|Hernan Gmoiner S/N|11425|9518|7|2|Departamento en Venta, La Mena|RE/MAX Traditions|https://www.remax.com.ec/listings/departamento-en-venta-la-mena-1
158000|120|Calle N S/N|17774|110|5|2|MODERNO DEPARTAMENTO A ESTRENAR - 2 HABITACIONES|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/moderno-departamento-a-estrenar-2-habitaciones
95000|80|Quiteño Libre S/N|86|68|8|1|VENDO SUITE EN BELLAVISTA|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/vendo-suite-en-bellavista
50000|35|Doctor José Fernández Salvador S/N|85|75|6|1|VENDO DEPARTAMENTO PARQUE INGLES|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/vendo-departamento-parque-ingles
279000|200|S7d S/N|199|182|8|3|VENDO DEPARTAMENTO|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/vendo-departamento-2
75000|75|Noruega y Moscú S/N|4208|4208|3|1|Suite en Venta en Sector República de El Salvador|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/suite-en-venta-en-sector-republica-de-el-salvador
70000|31|De los Eucaliptos 0|77|77|4|2|Departamento en venta, Conjunto San Sebastián|RE/MAX Empire|https://www.remax.com.ec/listings/departamento-en-venta-conjunto-san-sebastian-1
50000|31|De los Eucaliptos 0|113|77|4|2|Departamento en venta conjunto San Sebastian|RE/MAX Empire|https://www.remax.com.ec/listings/departamento-en-venta-conjunto-san-sebastian
195000|190|Avenida Edmundo Carvajal 800|165|150|2|3|DEPARTAMENTO DE LUJO EXCELENTE VISTA AMOBLADO|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/departamento-de-lujo-excelente-vista-amoblado
87000|80|República del Salvador y Moscú 0|54|54|2|1|Venta Suite Amoblada en Rep. del Salvador|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/venta-suite-amoblada-en-rep-del-salvador
76000|1|De Las Cucardas S/N|14026|12266|8|2|DEPARTAMENTO EN VENTA 123M² LAS CUCARDAS - KENNEDY|RE/MAX Capital|https://www.remax.com.ec/listings/departamento-en-venta-123m-las-cucardas-kennedy
64500|50|Pedro de Alvarado 0|78|78|4|1|Departamento en venta Bellavista Alta|RE/MAX Advance|https://www.remax.com.ec/listings/departamento-en-venta-bellavista-alta
55000|40|Mañosca Oe760 S/N|50|50|3|1|VENDO DEPARTAMENTO AMOBLADO $55.000 MAÑOSCA|RE/MAX Capital|https://www.remax.com.ec/listings/vendo-departamento-amoblado-55-000-manosca-1
70000|60|Calle B y Manuel Valdiviezo 100|148|86|4|2|VENTA DE DEPARTAMENTO EN EL PINAR ALTO|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/venta-de-departamento-en-el-pinar-alto
