Precio|Expensas|Dirección|Superficie Total (m²)|Superficie Cubierta (m²)|Ambientes|Baños|Descripción|Agencia|URL Propiedad
82000|90|Bosmediano S/N|70|65|4|1|En venta suite con balcón, ubicada en Bellavista|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/en-venta-suite-con-balcon-ubicada-en-bellavista
158494|N/A|Mariano Egas S/N|104|104|6|2|DEPARTAMENTO 3D, GRANDA CENTENO|RE/MAX Advance|https://www.remax.com.ec/listings/departamento-3d-granda-centeno
208800|N/A|Mariano Egas S/N|1305|1305|6|3|Departamento a estrenar Edificio Trento|RE/MAX Advance|https://www.remax.com.ec/listings/departamento-a-estrenar-edificio-trento
100000|78|Korea E Iñaquito S/N|103|103|5|2|Departamento 100M2 Korea Park|RE/MAX Capital|https://www.remax.com.ec/listings/departamento-100m2-korea-park
149000|80|Av. República y Av. Eloy Alfaro S/N|68|61|3|1|Carolina, EPIQ!! Suite de venta, vista, estrenar!|RE/MAX Capital|https://www.remax.com.ec/listings/carolina-epiq-suite-de-venta-vista-estrenar-1
146349|40|Pasaje Dolomitas y de los Naranjos S/N|12191|12191|5|1|Departamento en Venta Monteserrin 121,91m2 B12|RE/MAX Capital|https://www.remax.com.ec/listings/departamento-en-venta-monteserrin-121-91m2-b12
110000|60|Versalles S/N|215|204|6|2|Santa Clara, Versalles, Dpto venta 3 dormitorios|RE/MAX Capital|https://www.remax.com.ec/listings/santa-clara-versalles-dpto-venta-3-dormitorios
73000|78|El Bosque Segunda Transversal S/N|73|58|3|1|Suite de venta, hermosa, moderna, El Bosque. 58 m2|RE/MAX Capital|https://www.remax.com.ec/listings/suite-de-venta-hermosa-moderna-el-bosque-58-m2
74900|80|Rusia S/N|597|451|4|1|SUITE DE 45,10 m2 EN VENTA, LA CAROLINA|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/suite-de-45-10-m2-en-venta-la-carolina
159000|84|Eloy Alfaro S/N|108|105|6|2|Departamento Venta Batan Alto 105m2 3dor 2par 1bod|RE/MAX Capital|https://www.remax.com.ec/listings/departamento-venta-batan-alto-105m2-3dor-2par-1bod
199000|67|Mariano Echeverria & Francisco de Nates S/N|16654|16654|2|3|Departamento 3D a estrenar en venta - Quito Tenis|RE/MAX Impacta|https://www.remax.com.ec/listings/departamento-3d-a-estrenar-en-venta-quito-tenis
87500|74|De los Cipreses, Conjunto Toulousse S/N|10195|10195|7|2|Departamento Conjunto Toulouse norte de Quito|RE/MAX Advance|https://www.remax.com.ec/listings/departamento-conjunto-toulouse-norte-de-quito
38000|N/A|Manuel Coronado S/N|76|625|4|1|DEPARTAMENTO EN VENTA SECTOR COMERCIAL CHILLOGALLO|RE/MAX Advance|https://www.remax.com.ec/listings/departamento-en-venta-sector-comercial-chillogallo
118000|110|Urbanización el Condado 300|15553|15553|8|2|SE VENDE DEPARTAMENTO URB EL CONDADO|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/se-vende-departamento-urb-el-condado-1
110000|139|Suiza 3400|5915|5915|3|1|SE VENDE SUITE REPÚBLICA DEL SALVADOR|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/se-vende-suite-republica-del-salvador
59000|40|Mariscal Antonio José de Sucre S/N|11157|9207|6|1|Departamento de Venta Av. Occidental|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/departamento-de-venta-av-occidental
109000|83|Francisco Dalmau S/N|174|136|8|2|En Venta Departamento 175m2 3 dormitorios Ponceano|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/en-venta-departamento-175m2-3-dormitorios-ponceano
240000|N/A|González Suárez S/N|430|330|9|3|Departamento en venta, PB, con Jardín, G. SUÁREZ|RE/MAX Capital|https://www.remax.com.ec/listings/departamento-en-venta-pb-con-jardin-g-suarez
135041|20|Avigiras S/N|92|88|3|2|Departamento 3 Dormitorios Jardines de Amagasi|RE/MAX Capital|https://www.remax.com.ec/listings/departamento-3-dormitorios-jardines-de-amagasi-2
135041|20|Avigiras S/N|92|88|3|2|Departamento 3 Dormitorios Jardines de Amagasi|RE/MAX Capital|https://www.remax.com.ec/listings/departamento-3-dormitorios-jardines-de-amagasi-1
104227|20|Avigiras S/N|6966|6966|4|1|Departamento 2 Dormitorios Jardines de Amagasi|RE/MAX Capital|https://www.remax.com.ec/listings/departamento-2-dormitorios-jardines-de-amagasi
162906|45|Avigiras S/N|146|86|4|2|Departamento 3 Dormitorios Jardines de Amagasi|RE/MAX Capital|https://www.remax.com.ec/listings/departamento-3-dormitorios-jardines-de-amagasi
110000|100|Manuel Valdiviezo S/N|115|95|3|2|Venta Departamento 2 Habitaciones El Pinar|RE/MAX Capital|https://www.remax.com.ec/listings/venta-departamento-2-habitaciones-el-pinar
430000|330|González Suárez S/N|21224|15324|15|3|Departamento Exclusivo 212.10 M2 2 parqueaderos|RE/MAX Capital|https://www.remax.com.ec/listings/departamento-exclusivo-212-10-m2-2-parqueaderos-1
