Precio|Expensas|Dirección|Superficie Total (m²)|Superficie Cubierta (m²)|Ambientes|Baños|Descripción|Agencia|URL Propiedad
101000|100|Los Laureles S/N|150|100|4|2|Departamento de Venta, Sector Los Laureles|RE/MAX Empire|https://www.remax.com.ec/listings/departamento-de-venta-sector-los-laureles-1
79000|35|Carlos Mantilla 100|23096|18908|8|2|VENDO CASA 230M2 CON TERRAZA 3 DOR CARLOS MANTILL|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/vendo-casa-230m2-con-terraza-3-dor-carlos-mantill
200|N/A|Antonio Elizalde S/N|35|35|2|1|EN RENTA SUITE REMODELADA FAC. MEDICINA U. CENTRA|RE/MAX Impacta|https://www.remax.com.ec/listings/en-renta-suite-remodelada-fac-medicina-u-centra
200|N/A|Antonio Elizalde S/N|35|35|2|1|SUITE EN RENTA, SECTOR EL DORADO|RE/MAX Impacta|https://www.remax.com.ec/listings/suite-en-renta-sector-el-dorado
160000|125|El Zurriago 144 100|135|110|6|2|DEPARTAMENTO 110 M2, PISO 5, EDIF. MODIGLIANI II|RE/MAX Capital|https://www.remax.com.ec/listings/departamento-110-m2-piso-5-edif-modigliani-ii
20000|N/A|Calle E10 S/N|56|56|5|2|DEPARTAMENTO SECTOR DIVINO NIÑO|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/departamento-sector-divino-nino
81000|30|Ugarte y Saravia 100|136|123|6|2|VENDO DEPARTAMENTO 123M2 SECTOR BELISARIO QUEVEDO|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/vendo-departamento-123m2-sector-belisario-quevedo
109000|30|Calle E6a S/N|168|138|8|2|DEPARTAMENTO 140M2 3 DORM SECT COLEGIO AMERICANO|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/departamento-140m2-3-dorm-sect-colegio-americano
329000|270|Naciones Unidas S/N|135|107|8|2|VENDO DEPARTAMENTO|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/vendo-departamento-6
105000|65|Avenida Antonio Granda Centeno 0|5505|5505|5|1|VENTA SUITE SECTOR GRANDA CENTENO|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/venta-suite-sector-granda-centeno
30000|N/A|Av. Teniente Hugo Ortiz y Moromoro S/N|45|45|4|1|DEPARTAMENTO EN VENTA - SECTOR TURUBAMBA ALTO|RE/MAX Advance|https://www.remax.com.ec/listings/departamento-en-venta-sector-turubamba-alto
23000|6|E10 S/N|6843|4875|4|1|DIVINO NIÑO SUR DEPARTAMENTO DE VENTA 69m|RE/MAX Capital|https://www.remax.com.ec/listings/divino-nino-sur-departamento-de-venta-69m
119000|62|C Lonso de Torres S/N|74200|74200|2|1|VENTA DE DEPARTAMENTO EN EL BOSQUE|RE/MAX Impacta|https://www.remax.com.ec/listings/venta-de-departamento-en-el-bosque
140000|155|Rafael Almeida S/N|148|100|7|2|Venta departameto|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/venta-departameto
218000|327|Francisco Feijo S/N|230|120|4|2|DEPARTAMENTO EN VENTA SECTOR QUITO TENIS|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/departamento-en-venta-sector-quito-tenis-2
125000|90|Avenida Eloy Alfaro S/N|86|70|4|1|Departamento|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/departamento
249000|220|Avenida República de el Salvador S/N|121|121|8|2|DEPARTAMENTO EN VENTA CON UNA HERMOSA VISTA A LA C|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/departamento-en-venta-con-una-hermosa-vista-a-la-c
73900|35|Jose María Guerreo S/N|150|103|4|2|EN VENTA DEPARTAMENTO URB 23 DE JUNIO - COTOCOLLAO|RE/MAX Impacta|https://www.remax.com.ec/listings/en-venta-departamento-urb-23-de-junio-cotocollao
26900|20|Caupicho 100|6025|4825|5|1|VENDO DEPARTAMENTO 2 DOR DIVINO NIÑO SUR CAUPICHO|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/vendo-departamento-2-dor-divino-nino-sur-caupicho
259900|1|Av Republica y Eloy Alfaro S/N|104|84|2|2|Se vende departamento edificio Epiq La Carolina|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/se-vende-departamento-edificio-epiq-la-carolina
64999|40|E8 y Jaime Roldos Aguilera S/N|70|70|3|1|EN VENTA SUITE URBANIZACION MASTODONTES CARCELÉN|RE/MAX Impacta|https://www.remax.com.ec/listings/en-venta-suite-urbanizacion-mastodontes-carcelen
64000|30|Juan José de Villalengua S/N|864|645|4|1|Suite en venta en sector Granda Centeno|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/suite-en-venta-en-sector-granda-centeno
77000|N/A|La Sagalita S/N|103|91|4|2|Venta Departamento El Condado 3 Dorm.|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/venta-departamento-el-condado-3-dorm
96000|102|Mariscal Sucre E6 la Rábida S/N|11308|8664|4|2|Departamento en Venta Sector La Colón|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/departamento-en-venta-sector-la-colon
