Precio,Ubicación,Ciudad,Expensas,Habitaciones,Baños,Área,Estacionamientos,Precio/m²,Fecha de Publicación,Descripción,Logo Agencia,Destacado
USD 129.000,QUICENTRO SHOPPING,"La Carolina, Quito",,2 hab.,1 baño,98 m² tot.,1 estac.,N/A,N/A,"Se encuentra ubicado en una de las áreas residenciales de Quito con más alta plusvalía; en pleno corazón financiero, cerca de entretenimientos, cines, centros comerciales y un amplio pulmón de la ciudad como es el Parque “la Carolina”, sector Quicentro Shopping. El edificio cuenta con detalles modernos como acceso al edificio a través de un sistema electrónico, Lobby espacioso, amplias jardineras, ascensor con capacidad para 8 personas, sala comunal y área de bbq en la terraza entre otros. Distribución. 2 habitaciones. 1 baño completo y un ½ baño. Sala, comedor, cocina, área de máquinas. 1 estacionamiento. 1 bodega. Dimensiones. 78 m2 útiles. 16. 80 m2 estacionamiento. 3. 07 m2 bodega. Acabados. Piso flotante alemán. Gypsum en techo. Grifería y aparatos sanitarios Franz Viegener. Muebles modulares (hogar 2000) Puertas termo laminadas. Cerraduras cesa. Tubería pvc agua fría y cobre en caliente. Aluminio y vidrio de 6 mm color gris. Fregadero teka. Mesones de mármol cultivado. 23 departamentos en total. Incluye. Cocina de 3 quemadores. Refrigeradora. Horno. Microondas. Lámparas. Mampara de vidrio en baño. Calefón eléctrico. Cortinas. Medidor de luz",./Plusvalia_raw_p35_060924_2243_files/logo_xavier-arcentales_1724890707576.jpg,Super destacado
USD 187.000,El Batán y Eloy Alfaro,"El Batán, Quito",USD 220 Alícuota,3 hab.,2 baños,195 m² tot.,2 estac.,N/A,N/A,"Nuevo apartamento de 3 habitaciones en venta en Iñaquito. Ubicado estratégicamente en la intersección de El Batán y Eloy Alfaro. Área de construcción: 155m2. Área total de 195. 94m2. Características: 3 habitaciones. 2 baños completos. 2 baños sociales. 2 plazas de aparcamiento. Balcón. Cocina cerrada. Precio: $187, 000. Además, el edificio cuenta con amenidades que hacen de este apartamento una opción ideal para familias y profesionales. Entre las facilidades se incluyen: Gimnasio completamente equipado. Área de bbq para reuniones familiares y con amigos. Seguridad 24/7 para tu tranquilidad y la de tu familia. Ascensor moderno y eficiente. La ubicación es inmejorable, con fácil acceso a transporte público, centros comerciales, parques y escuelas. Vivir en El Batán te permitirá disfrutar de una vida cómoda y conectada con todo lo que necesitas a tu alcance. No pierdas la oportunidad de convertir este apartamento en tu nuevo hogar. ¡Estamos aquí para ayudarte en cada paso del proceso! Contáctanos hoy mismo y empieza a imaginar tu vida en este maravilloso espacio.",./Plusvalia_raw_p35_060924_2243_files/logo_rialti-s.a.s._1699394741424.jpg,Super destacado
USD 52.000,San Fernando,"San Fernando, Quito",USD 1 Alícuota,2 hab.,1 baño,62 m² tot.,1 estac.,N/A,N/A,"Vendo departamento de 2 dormitorios (Remodelado) (62 m2 / Sector San Fernando) - 2do Piso- 2 Dormitorios. - 1 Baño completo. - Sala / Comedor. - Cocina equipada, muebles altos y bajos, - Incluye plancha de cocina y extractor de olores, horno eléctrico- Incluye lámparas y persianas tipo cebra- Alarma y Puerta Blindada- 1 parqueadero. precio: $52. 000 (Negociables)",./Plusvalia_raw_p35_060924_2243_files/logo_infinity-realtor_1684777183377.jpg,Super destacado
USD 159.510,Quito Tenis,"Quito Tenis, Quito",,2 hab.,2 baños,105 m² tot.,1 estac.,N/A,N/A,"Departamento 90m² construcción, cuenta con balcón, diseño moderno y funcional, ubicado en sector residencial que mantiene el equilibrio entre la tranquilidad de la zona y la cercanía a importantes arterias viales, centros comerciales, bancos, hospitales y otros puntos de interés de la ciudad. Distribucion: • Sala. • Comedor. • Balcón. • Cocina. • Cuarto de máquinas. • Baño social. • Dormitorio con baño. • Dormitorio máster con walking closet y baño. • Parqueadero. comunales: • Jacuzzi. • Terraza con área de bbq. • Gimnasio. • Salón comunal. • Patio interior",./Plusvalia_raw_p35_060924_2243_files/logo_strategia-inmobiliaria_1531495537839.jpg,Super destacado
USD 189.000,Francisco  Feijo e Hidalgo,"Quito Tenis, Quito",,3 hab.,3 baños,118 m² tot.,2 estac.,N/A,N/A,"Quito tenis. Último Departamento por estrenar. 3 dormitorios con baño privado. 2 dormitorios y estudio. Baño social. 2 estacionamientos. 1 bodega. Línea blanca de cocina: plancha, horno convencional, horno microondas, extractor, refrigerador. Acabados de primera: porcelanato en todas las áreas, maderato en gradas. Seguridad 24 / 7. Área comunal: gimnasio, sala comunal, terraza con bbq",./Plusvalia_raw_p35_060924_2243_files/logo_riofrio-constructora_1585925535507.jpg,Super destacado
USD 224.088,Whymper y Diego de Almagro,"La Carolina, Quito",USD 146 Alícuota,3 hab.,2 baños,129 m² tot.,2 estac.,N/A,N/A,"¡Tu Hogar de Ensueño te espera! Departamento por Estrenar en Venta. Ubicado en el sector de La Paz, este encantador departamento por estrenar ofrece una oportunidad única para aquellos que buscan la combinación perfecta de comodidad, elegancia y modernidad. Características del Departamento: Ubicación: Cerca de vías principales: 6 de diciembre, Whymper, Av. República, Eloy Alfaro, Túnel Guayasamín, bancos, centros comerciales (Mall el Jardín, Megamaxi) y parques (La Carolina) Estado: Por Estrenar. Dormitorios: 2 y 3. Baños: 2 y 2. 5. Área Total: Desde 88. 97 mts2 hasta 129. 67 mts2. Precio: Desde usd $155. 667 hasta usd $246. 634. Estacionamientos: 2. Balcón: 1. Características Especiales: Diseño Moderno: Interiores elegantes con acabados de alta calidad. Cocina Equipada: Equipamiento de cocina de última generación, tipo americana con mesón de cuarzo, muebles altos y bajos. Iluminación Natural: Grandes ventanales para una excelente entrada de luz natural. Áreas Sociales: - Yoga. - Co- Working. - Gym. - Lavandería. - Kids Place. - Pet Zone. - Yacuzzi. - Game Room. - Zona bbq. - Lobby. - Recepción. - 2 Ascensores de alta velocidad (tecnología magnética) - Parqueadero en subsuelo. - Parqueadero de visitas. - Seguridad contra incendios. - Seguridad 24 hrs (cámaras cctv) - Parqueaderos adicionales disponibles para compra. Ubicación Privilegiada: Este departamento está estratégicamente ubicado cerca de ibm, Embajada de Colombia, Petroecuador, iglesia de La Paz, túnel Guayasamín, Megamaxi, parque La Carolina y parada del Metro. Una zona en crecimiento con acceso fácil a transporte público y servicios. Inversión Segura: Plusvalía: Zona en constante desarrollo y crecimiento. Edificio moderno, 8 pisos de departamentos, 1 terraza y 3 subsuelos de parqueaderos privados y de visitas. Financiamiento: Opciones disponibles para financiamiento. Listo para Habitar: Este departamento está listo para convertirse en tu hogar. Simplemente trae tus pertenencias y comienza a disfrutar de la vida en tu nuevo espacio. Precio atractivo: ¡No pierdas la oportunidad de adquirir este departamento por estrenar a un precio competitivo! Para más información y programar una visita, contáctanos, menciona este código sky23-24 y recibirás de obsequio plancha y horno para equipar la cocina. ¡Haz de este departamento tu nuevo hogar! ¡Bienvenido a una vida de comodidad y estilo!",./Plusvalia_raw_p35_060924_2243_files/logo_broker-s-asociados_1586986436793.jpg,Super destacado
USD 200.000,Parque de Cumbayá,"Cumbayá, Quito",USD 100 Alícuota,2 hab.,1 baño,183 m² tot.,2 estac.,N/A,N/A,"Venta departamento 2 dormitorios ubicadoen una zona privilegiada de Cumbayá, cerca del parque caminando, colegio menos, conocida por su ambiente tranquilo y su proximidad a servicios, centros comerciales, restaurantes, y seguridad 24/7 presencial. detalles: - 2 dormitorios. - 2 baños completos + baño social. - 102. 5m2 cubiertos + 39 m2 Jardín. - 2 estacionamientos (muy grandes) + 1Bodega. - Porche. - cocina elegante con isla. -Área de máquinas para maquinas independientes. Edificio: - 2 Piscinas-Turco-Seguridad privada 24/7 - Juego para niños - bbq de primera - gym - áreas verdes -Pocos años de uso. precio: $200. 000. contacto: 0 9 9 8 0 1 1 8 8 7 daniel R.",./Plusvalia_raw_p35_060924_2243_files/logo_daniel-ramon_1535921052943.jpg,Super destacado
USD 165.506,Bélgica N158 y av. Seis de Diciembre,"La Carolina, Quito",,2 hab.,2 baños,87 m² tot.,1 estac.,N/A,N/A,"Información general: Departamentos de dos dormitorios desde $143, 000 hasta $165, 500. área útil: 80. 71 metros cuadrados. área total: 6. 35 metros cuadrados. piso: 6. acabados: Acabados Premium. Línea neo nordic. Piso Flotante o de Porcelanato de alta calidad en todos los Ambientes, Muebles de Cocina y Muebles de Baño en Melamínico con Mesones y Backsplash en Porcelanato, Plancha Eléctrica y Extractor De Olores en Cocina, Espacio para Lavadora y Secadora, Iluminación en Cada Ambiente. amenities: Sala Comunal/Gourmet Room, Parrilla/Terraza, Gimnasio, Zona de Yoga, Zona de Spa con Jacuzzi y Sauna, Jam Room/Sala de Peliculas, Coworking con Sala de Reuniones, Pet Spa, Terraza con Jardines & Lavandería. (Espacios Completamente Equipados) servicios: Guardianía 24/7, Circuito Cerrado de tv (cctv), Parqueadero Cubierto, Parqueadero de Visitas, Agua Caliente Centralizada, Asensor, Sistema Contra Incendios, Generador Eléctrico para todo el Edificio (100%) redes sociales: Instagram: @carranza. studio. Instagram: @carranza. constructora. Facebook: /CarranzaStudioec",./Plusvalia_raw_p35_060924_2243_files/logo_carranza-arq-studio-cia-ltda_1653599532912.jpg,Super destacado
USD 118.000,"Jardines de Amagasí, Avigiras y de Las Mentas 0, Jardines de amagasi, Jipijapa, Quito, Pichincha","San Isidro - Vista Grande, Quito",USD 50 Alícuota,3 hab.,2 baños,125 m² tot.,1 estac.,N/A,N/A,"Departamento 3D Jardines de Amagasí Departamento en Planta Baja con 3 Dormitorios en el Conjunto Jardines de Amagasí Ubicado en el conjunto residencial Jardines de Amagasí, este hermoso departamento en planta baja ofrece una oportunidad única para vivir en comodidad y estilo. Con una ubicación privilegiada y una gran cantidad de comodidades, este hogar es ideal para aquellos que buscan lo mejor en términos de seguridad, espacio y bienestar. Características Principales: Ubicación Perfecta: Situado en el conjunto Jardines de Amagasí, esta propiedad ofrece acceso a una comunidad segura y próspera, donde el bienestar y la tranquilidad son una prioridad. Amplio Espacio: Con una generosa área de construcción de 125 metros cuadrados, este departamento ofrece un amplio espacio para que tu familia se relaje y disfrute. Distribución Funcional: El departamento cuenta con 3 dormitorios que brindan privacidad y comodidad a todos los miembros de la familia. Además, cuenta con 2 baños completos y 1 baño social, lo que garantiza que todas las necesidades sean atendidas. Áreas Sociales de Primera: La urbanización destaca por sus lujosas áreas sociales, diseñadas para satisfacer tus necesidades recreativas y de entretenimiento. Puedes disfrutar de momentos inolvidables con amigos y familiares en las áreas comunes, que incluyen espacios verdes y áreas de juego. Seguridad las 24 Horas: Tu tranquilidad es nuestra prioridad. El conjunto cuenta con servicio de guardianía las 24 horas del día, los 7 días de la semana, para asegurarse de que tú y tus seres queridos estén protegidos en todo momento. Conveniencia Cotidiana: La distribución del departamento incluye una sala, comedor y cocina, diseñados para facilitar el flujo y la funcionalidad en la vida cotidiana. Preparar comidas, disfrutar del tiempo en familia y recibir invitados nunca ha sido tan sencillo. Estacionamiento Privado: Incluye un parqueadero privado, lo que elimina cualquier preocupación sobre el estacionamiento y proporciona comodidad adicional. No pierdas la oportunidad de vivir en el corazón de la comodidad y la seguridad en el conjunto Jardines de Amagasi. Este departamento en planta baja ofrece todo lo que necesitas para crear recuerdos duraderos y una vida llena de momentos especiales. ¡Contáctanos hoy mismo para programar una visita y descubrir tu próximo hogar! Agenda tu visita. Agente Inmobiliario. Andrés Navas. re/max Advance",./Plusvalia_raw_p35_060924_2243_files/logo_remax-advance_1688592047265.jpg,Super destacado
USD 120.000,CUERO Y CAICEDO,"Centro Norte, Quito",USD 80 Alícuota,2 hab.,2 baños,150 m² tot.,2 estac.,N/A,N/A,"** la oportunidad que estabas esperando para tener el departamento de tus sueños! ! Inmopropiedades vende! ! Lindo departamento de 2 habitaciones de 120 M2 con balcon en piso alto. -en sector: las casas, av. Cuero Y caicedo, ubicacion estrategica cerca A todo! - vista espectacular. -amplia area social con buena iluminacion Y salida A un pequeño balcon. - 2 habitaciones cada una con baño completo. -habitación master con amplio closet Y tina de baño. - 1 baño social. -área de máquinas dentro de la cocina con espacio para lavadora Y secadora. - cocina independiente equipada, con horno plancha Y extractor de olores. -sistema de iluminación. -sistema de alarma. - piso 5, edificio con pocos departamentos. - area de secado en la terraza. - 2 parqueaderos independientes. - 1 bodega. - edificio con sistema de seguridad. *áreas comunales* - terraza con área de bbq. - lobby de ingreso. - salon comunal. para asesoría personalizada de esta Y más propiedades comunicate ya!",./Plusvalia_raw_p35_060924_2243_files/logo_inmopropiedades_1582299812311.jpg,Super destacado
