Precio|Expensas|Dirección|Superficie Total (m²)|Superficie Cubierta (m²)|Ambientes|Baños|Descripción|Agencia|URL Propiedad
50000|31|De los Eucaliptos 0|113|77|4|2|Departamento en venta conjunto San Sebastian|RE/MAX Empire|https://www.remax.com.ec/listings/departamento-en-venta-conjunto-san-sebastian
195000|190|Avenida Edmundo Carvajal 800|165|150|2|3|DEPARTAMENTO DE LUJO EXCELENTE VISTA AMOBLADO|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/departamento-de-lujo-excelente-vista-amoblado
87000|80|República del Salvador y Moscú 0|54|54|2|1|Venta Suite Amoblada en Rep. del Salvador|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/venta-suite-amoblada-en-rep-del-salvador
76000|1|De Las Cucardas S/N|14026|12266|8|2|DEPARTAMENTO EN VENTA 123M² LAS CUCARDAS - KENNEDY|RE/MAX Capital|https://www.remax.com.ec/listings/departamento-en-venta-123m-las-cucardas-kennedy
64500|50|Pedro de Alvarado 0|78|78|4|1|Departamento en venta Bellavista Alta|RE/MAX Advance|https://www.remax.com.ec/listings/departamento-en-venta-bellavista-alta
55000|40|Mañosca Oe760 S/N|50|50|3|1|VENDO DEPARTAMENTO AMOBLADO $55.000 MAÑOSCA|RE/MAX Capital|https://www.remax.com.ec/listings/vendo-departamento-amoblado-55-000-manosca-1
70000|60|Calle B y Manuel Valdiviezo 100|148|86|4|2|VENTA DE DEPARTAMENTO EN EL PINAR ALTO|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/venta-de-departamento-en-el-pinar-alto
82000|90|Bosmediano S/N|70|65|4|1|En venta suite con balcón, ubicada en Bellavista|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/en-venta-suite-con-balcon-ubicada-en-bellavista
158494|N/A|Mariano Egas S/N|104|104|6|2|DEPARTAMENTO 3D, GRANDA CENTENO|RE/MAX Advance|https://www.remax.com.ec/listings/departamento-3d-granda-centeno
208800|N/A|Mariano Egas S/N|1305|1305|6|3|Departamento a estrenar Edificio Trento|RE/MAX Advance|https://www.remax.com.ec/listings/departamento-a-estrenar-edificio-trento
100000|78|Korea E Iñaquito S/N|103|103|5|2|Departamento 100M2 Korea Park|RE/MAX Capital|https://www.remax.com.ec/listings/departamento-100m2-korea-park
149000|80|Av. República y Av. Eloy Alfaro S/N|68|61|3|1|Carolina, EPIQ!! Suite de venta, vista, estrenar!|RE/MAX Capital|https://www.remax.com.ec/listings/carolina-epiq-suite-de-venta-vista-estrenar-1
146349|40|Pasaje Dolomitas y de los Naranjos S/N|12191|12191|5|1|Departamento en Venta Monteserrin 121,91m2 B12|RE/MAX Capital|https://www.remax.com.ec/listings/departamento-en-venta-monteserrin-121-91m2-b12
110000|60|Versalles S/N|215|204|6|2|Santa Clara, Versalles, Dpto venta 3 dormitorios|RE/MAX Capital|https://www.remax.com.ec/listings/santa-clara-versalles-dpto-venta-3-dormitorios
73000|78|El Bosque Segunda Transversal S/N|73|58|3|1|Suite de venta, hermosa, moderna, El Bosque. 58 m2|RE/MAX Capital|https://www.remax.com.ec/listings/suite-de-venta-hermosa-moderna-el-bosque-58-m2
74900|80|Rusia S/N|597|451|4|1|SUITE DE 45,10 m2 EN VENTA, LA CAROLINA|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/suite-de-45-10-m2-en-venta-la-carolina
159000|84|Eloy Alfaro S/N|108|105|6|2|Departamento Venta Batan Alto 105m2 3dor 2par 1bod|RE/MAX Capital|https://www.remax.com.ec/listings/departamento-venta-batan-alto-105m2-3dor-2par-1bod
199000|67|Mariano Echeverria & Francisco de Nates S/N|16654|16654|2|3|Departamento 3D a estrenar en venta - Quito Tenis|RE/MAX Impacta|https://www.remax.com.ec/listings/departamento-3d-a-estrenar-en-venta-quito-tenis
87500|74|De los Cipreses, Conjunto Toulousse S/N|10195|10195|7|2|Departamento Conjunto Toulouse norte de Quito|RE/MAX Advance|https://www.remax.com.ec/listings/departamento-conjunto-toulouse-norte-de-quito
38000|N/A|Manuel Coronado S/N|76|625|4|1|DEPARTAMENTO EN VENTA SECTOR COMERCIAL CHILLOGALLO|RE/MAX Advance|https://www.remax.com.ec/listings/departamento-en-venta-sector-comercial-chillogallo
118000|110|Urbanización el Condado 300|15553|15553|8|2|SE VENDE DEPARTAMENTO URB EL CONDADO|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/se-vende-departamento-urb-el-condado-1
110000|139|Suiza 3400|5915|5915|3|1|SE VENDE SUITE REPÚBLICA DEL SALVADOR|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/se-vende-suite-republica-del-salvador
59000|40|Mariscal Antonio José de Sucre S/N|11157|9207|6|1|Departamento de Venta Av. Occidental|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/departamento-de-venta-av-occidental
109000|83|Francisco Dalmau S/N|174|136|8|2|En Venta Departamento 175m2 3 dormitorios Ponceano|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/en-venta-departamento-175m2-3-dormitorios-ponceano
