Precio|Expensas|Dirección|Superficie Total (m²)|Superficie Cubierta (m²)|Ambientes|Baños|Descripción|Agencia|URL Propiedad
155000|145|Ruta Viva / Tumbaco S/N|14696|9629|7|2|Se vende hermoso dpto 2D Conj. Aurora - Tumbaco|RE/MAX Futuro|https://www.remax.com.ec/listings/se-vende-hermoso-dpto-2d-conj-aurora-tumbaco
42000|15|Gonzalo Gordillo 0|85|65|3|1|DEPARTAMENTO EN VENTA SECTOR CARCELEN ALTO|RE/MAX Capital|https://www.remax.com.ec/listings/departamento-en-venta-sector-carcelen-alto
53000|N/A|Capitán Giovanni Calles S/N|71|59|3|2|Casa en venta, En Urbanizacion , Carapungo|RE/MAX Impacta|https://www.remax.com.ec/listings/casa-en-venta-en-urbanizacion-carapungo
36000|23|Ciudad Jardín Sur de Quito S/N|5623|5623|4|1|Departamento en venta Ciudad Jardín sur de Quito|RE/MAX Impacta|https://www.remax.com.ec/listings/departamento-en-venta-ciudad-jardin-sur-de-quito
149000|84|Avenida Naciones Unidas S/N|7203|7203|1|1|SUITE EN VENTA, NACIONES UNIDAS|RE/MAX Impacta|https://www.remax.com.ec/listings/suite-en-venta-naciones-unidas
90000|112|Avenida 6 de Diciembre S/N|8127|8127|4|1|Departamento en Venta : 2 Hab : La Paz : 81m|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/departamento-en-venta-2-hab-la-paz-81m
250000|120|N42 Beck Rollo 0|112|112|3|3|Vendo Departamento 212 m 2, sector Bosque|RE/MAX Futuro|https://www.remax.com.ec/listings/vendo-departamento-212-m-2-sector-bosque
89900|69|Av. Eloy Alfaro y de los Nogales S/N|7976|65|7|2|Departamento Semiamoblado en venta|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/departamento-semiamoblado-en-venta
260000|50|Bernabe Lovato 0|252|240|8|3|Venta de Departamento Duplex en Miravalle 4|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/venta-de-departamento-duplex-en-miravalle-4
127000|35|Panamericana Norte S/N|198|168|8|2|DEPARTAMENTO EN VENTA 168 m2 MAS DOS PARQUEADEROS|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/departamento-en-venta-168-m2-mas-dos-parqueaderos
164900|350|Eloy Alfaro S/N|475|261|8|3|Departamento en venta en Eloy Alfaro y Av Portugal|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/departamento-en-venta-en-eloy-alfaro-y-av-portugal
125000|173|6 de Diciembre y Cordero S/N|11661|8475|6|2|VENTA DEPARTAMENTO 6 DE DICIEMBRE Y CORDERO|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/venta-departamento-6-de-diciembre-y-cordero
74500|53|Av. Gaspar de Villarroel S/N|63|63|4|1|Venta Departamento Conj. Parque Real, Udla|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/venta-departamento-conj-parque-real-udla
169000|173|Terrazas del Moral S/N|146|142|4|2|Departamento vista panorámica Terrazas del Moral|RE/MAX Capital|https://www.remax.com.ec/listings/departamento-vista-panoramica-terrazas-del-moral
210000|90|Quiteño Libre y la Cumbre S/N|185|165|4|3|Venta Departamento Quiteño Libre y La Cumbre|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/venta-departamento-quiteno-libre-y-la-cumbre
65000|60|Ulpiano Paez y Luis Cordero 0|42|42|4|1|SUITE CERCANO A LA COLON Y 10 DE AGOSTO|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/suite-cercano-a-la-colon-y-10-de-agosto
99900|80|Lugo y Lerida 0|9684|813|6|2|Se vende departamento la Floresta|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/se-vende-departamento-la-floresta
99900|1|Bossano S/N|178|80|4|1|Departamento de Venta en Bellavista, 2 Dorm., Muy|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/departamento-de-venta-en-bellavista-2-dorm-muy
670000|738|Conjunto Residencial Villa Regina S/N|45998|38783|14|2|VENDO DEPARTAMENTO VILLA REGINA|RE/MAX Advance|https://www.remax.com.ec/listings/vendo-departamento-villa-regina
94000|80|Republica del Salvador S/N|25|25|1|1|Estudio - Mini suite en venta amoblado Edif XOE|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/estudio-mini-suite-en-venta-amoblado-edif-xoe
53000|60|Guillermo Mensi 0|1088|932|4|1|DEPARTAMENTO DE VENTA SECTOR EMBAJADA AMERICANA|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/departamento-de-venta-sector-embajada-americana
45000|15|Avenida de los Granados S/N|51|51|4|1|DEPARTAMENTO EN VENTA SECTOR LA GRANADOS 51m²|RE/MAX Capital|https://www.remax.com.ec/listings/departamento-en-venta-sector-la-granados-51m
65000|25|De Las Anonas S/N|10123|976|8|2|EL EDEN DEPARTAMENTO EN VENTA 97m2 3 HABITACIONES|RE/MAX Capital|https://www.remax.com.ec/listings/el-eden-departamento-en-venta-97m2-3-habitaciones
280000|N/A|Juan Montalvo S/N|297|297|12|2|DEPARTAMENTO EN VENTA ENCUMBAYA CERCA A TEMPO|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/departamento-en-venta-encumbaya-cerca-a-tempo
