Precio,Ubicación,Ciudad,Expensas,Habitaciones,Baños,Área,Estacionamientos,Precio/m²,Fecha de Publicación,Descripción,Logo Agencia,Destacado
USD 57.763,Vozandes y San Francisco,"Quito Tenis, Quito",USD 10 Alícuota,1 a 2 hab.,2 baños,29 a 82 m² tot.,1 estac.,N/A,N/A,"Alinea es un proyecto desarrollado a través de un fideicomiso, promovido por un grupo de Arquitectos e Ingenieros, donde se ha diseñado y planificado cada centímetro del proyecto. Un producto que supera los estándares en cuanto a diseño, planificación, acabados, amenities, en un sector que se está desarrollando a pasos agigantados. Nuestro proyecto de 9 niveles se encuentra en construcción, próximos a terminar la estructura. Lo cual garantiza lo convierte en una inversión segura. El edificio tiene departamentos tipo studio, suites con patio y departamentos de 2 dormitorios. Con metrajes que se encuentran en el rango ideal, para convertirlos en unidades amplias, pero con un costo apropiado. Los amenities del edificio han sido pensados para disfrute continuo de sus habitantos: - Lobby de ingreso. - Sala de Co-propietarios. - Gimnasio y Yoga. - bbq. - Lounge Exterior. Comunícate hoy y visita nuestra obra.",./Plusvalia_raw_p4_060924_2243_files/logo_edificio-alinea_1668519054633.jpg,Super destacado
USD 100.000,Av. 6 de Diciembre frente a la calle Ignacio Bossano,"La Carolina, Quito",USD 86 Alícuota,1 a 2 hab.,2 baños,70 a 131 m² tot.,2 estac.,N/A,N/A,"Edificio Sassari, te ofrece exclusivas suites, departamentos de dos dormitorios y local comercial por estrenar en el sector de La Carolina. Ubicación privilegiada dentro de Quito. A pocos pasos del parque La Carolina, cerca de centros comerciales, salas de cine y de medios de transporte. Entrega inmediata. • Estructura de hormigón y paredes de bloque. • Vidrios con lámina antiruido. • Lobby de recepción en planta baja. • Sala de juegos. • Sala exterior. • Gimnasio equipado. • bbq con pérgola y sala comunal cubierta en la terraza. • Terraza verde. • Juegos infantiles. • Ascensor para 15 personas. • Generador eléctrico para áreas comunales. • Calentamiento de agua con bombas de calor. • Ingreso al edificio con tarjetas de seguridad, así como al ascensor. • Guardianía 24 horas. • Sistema de cctv (circuito cerrado de televisión) • Acceso vehicular mediante el uso del dispositivo tag. • 5 Parqueos de visitas",./Plusvalia_raw_p4_060924_2243_files/logo_constructora-velastegui-2_1632509623434.jpg,Super destacado
USD 114.140,Pasaje b y alfredo dosnoso,"Ruta Viva, Quito",USD 150 Alícuota,3 hab.,2 baños,135 a 260 m² tot.,1 estac.,N/A,N/A,"29 departamentos no adosados de 1, 2 y 3 dormitorios al mejor precio del sector. 2000 de reserva, 10% a la firma de la promesa, 10% financiamiento directo y 80%. Crédito bancario. Club en casa. Entrega 2025.",./Plusvalia_raw_p4_060924_2243_files/logo_construremodelar-tm-s.a._1643742644745.jpg,Super destacado
USD 50.977,Alemania n30-186 y Vancouver,"Centro Norte, Quito",USD 55 Alícuota,1 a 2 hab.,2 baños,74 a 156 m² tot.,2 estac.,N/A,N/A,"Tu hogar ideal en el corazón de Quito. Edificio Eco eficiente que ofrece estudios, suites y departamentos en un sector de alta plusvalía y gran desarrollo inmobiliario. A una cuadra de la estación del metro de Quito ¨La Pradera¨. Con Gimnasio, Roofgarden. Estilo y confort cerca de todo. Reserva Ahora y obtén el 13% de descuento pagando de contado. No dejes pasar esta oportunidad única de inversión y estilo de vida",./Plusvalia_raw_p4_060924_2243_files/logo_cevallos-constructora_1713304095901.jpg,Super destacado
USD 147.851,Raffaele Giannetti y De las Consueldas,"Cumbayá, Quito",USD 100 Alícuota,1 a 3 hab.,2 baños,93 a 136 m² tot.,2 estac.,N/A,N/A,"Beltane departamentos. ¡Aquí comienza tu nueva etapa! Hemos diseñado tu nuevo hogar pensado en cada detalle para brindarte una experiencia confortable. De los desarrolladores de Departamentos Castejón. - Proyecto boutique de 3 niveles; 11 departamentos de 1, 2 y 3 dormitorios. - Diseñados con los más altos estándares de calidad. - Amplias áreas sociales y terrazas ajardinadas. - El mejor ambiente que combina tu hogar con la naturaleza. - Ubicado dentro de urbanización a 500 mts de la Ruta Viva. - Su ubicación estratégica te brinda cercanía a colegios, hospitales, centros comerciales, centros creativos, restaurantes, farmacias. Beltane Departamentos se adapta perfectamente al estilo de vida de cada persona, por eso se ha diseñado una variedad de amenidades, todos los espacios están pensados para darte una calidad de vida que tú y tu familia merecen. Amenities:: Planta baja: - Jardines. - Atrio jardín. - Hidromasaje. - Sauna. - Áreas húmedas. - Gimnasio. - Salas de coworking. Roofdeck: - bbq. - Fire pit. - Salón de copropietarios. Equipamiento: Un proyecto tan completo que te ofrece los espacios más confortables para vivir con tu familia: - Doble seguridad de ingreso. - Control electrónico de accesos. - Ascensor. - cctv. - Generador de emergencia 100% de servicio. - Generador eléctrico. - Cisterna. - Control de incendios. - Parqueaderos cubiertos. - Áreas verdes.",./Plusvalia_raw_p4_060924_2243_files/logo_promotora-inmobiliaria-daneco_1718555303194.jpg,Super destacado
USD 93.950,E9A De los Abedules N60-23 y  Calle N60.,"Norte de Quito, Quito",USD 172 Alícuota,2 a 3 hab.,2 baños,79 a 83 m² tot.,2 estac.,N/A,N/A,"Balcón Real es un conjunto moderno con ascensor en cada torre y seguro con todos los servicios que buscas. Estamos ubicados en el sector Norte de Quito, Santa Lucía. Te ofrecemos Dptos. En Venta de 2 y 3 dormitorios. Departamentos de 3 dorm. De entrega inmediata o en 90 días (con acabados personalizados): - Área habitable de 104 m2 con balcón. - Parqueadero doble y Bodega. - Área Total de 129 m2. - Precios us$ 117, 300 - us$ 133, 950. - Departamento Modelo puede coordinar su visita con un asesor de ventas. Departamentos de 2 dormitorios de entrega inmediata: - Área habitable de 73 m2. - Parqueadero y Bodega. - Área total de 93 m2. - Precios desde us$ 93, 950 - us$ 96, 314. Facilidades de pago y Financiamiento: - Reserva con us$ 2, 000. - Pago del 10% para Firma de Promesa de Compraventa. - Financiamiento directo de la Entrada. - Financiamiento de vivienda con biess y sistema financiero. - Financiamiento vip en departamentos estratégicos. Nuestros Departamentos: - Espacios amplios y bien distribuidos. - Diseño moderno y acabados de primera calidad. - Todos los sistemas son eléctricos, conexiones de 220V para cocina de inducción y calentador eléctrico de agua. - Personaliza los colores de acabados (90 días), según la gama de acabados que se exhibe en el Dpto. Modelo. Servicios del conjunto: - Ascensor en cada torre. - Guardianía privada las 24 horas. - Accesos con tarjeta magnética. - Parqueaderos cubiertos y bodegas. - Terrazas comunales con área bbq. - Generador eléctrico que abastece a todo el conjunto. - Cisterna. - Salón comunal: contará con salón de eventos, gimnasio y sauna. - Senderos de caminata. Para información y agendamiento de citas: - Déjanos tu nombre y número de contacto para ser atendido por un asesor. - Visita el Departamento Modelo de lunes a viernes en horarios de oficina y Fines de semana previa cita. - Sector Residencial de fácil acceso desde la Av. 6 De Diciembre y Av. Eloy Alfaro. - Cercanía a: supermercados, farmacias, bancos, instituciones educativas. - Líneas de transporte público a pocos pasos",./Plusvalia_raw_p4_060924_2243_files/logo_taboriver-s.a._1513789818364.jpg,Super destacado
USD 134.912,Gaspar de Villarroel y Chimborazo,"Cumbayá, Quito",USD 249 Alícuota,2 hab.,2 baños,162 a 333 m² tot.,3 estac.,N/A,N/A,"El Desarrollo Alba Green Park se localiza en el corazón de Cumbayá a 800m de la Universidad San Francisco de Quito. Sus hermosas suites y departamentos se caracterizan por su modernidad, arquitectura contemporánea, fácil accesibilidad, comodidad y tranquilidad. Sus terrazas te permitirán disfrutar de la mejor vista, amenities y servicios como son salón de juegos (ping-pong, billar, futbolín, juegos de mesa, entre otros), zonas de alimentos (horno de pan, Teppanyaki &amp;amp;amp; bbq), zonas húmedas (sauna, turco, jacuzzi, área de sol) y salón de eventos; el lugar perfecto para distraerte y disfrutar. Modernos coworkings que te permitirán trabajar desde tu hogar y ahorrar muchos recursos, y gimnasios equipados &amp;amp;amp; salón de yoga para tu bienestar integral. El Desarrollo Alba Green Park está estructurado en 4 etapas: Etapa A: 21 viviendas – Entrega: marzo, 2024Etapa B: 22 viviendas – Entrega: marzo, 2025Etapa C: 8 viviendas – Entrega: marzo, 2025Etapa D: 41 viviendas – Entrega: marzo, 2026Etapa A: 11 Suites: 10 de 49, 68m² y 1 de 53, 36m²10 Departamentos: 5 de 79, 36m² y 5 de 76, 06m²Tres de nuestras suites en planta baja cuentan con área verde de 31m², 38, 02m² y 38, 86m²Dos departamentos en planta baja cuentan con área verde de 78, 83m² y 22, 60m²Etapa B: 10 Suites: 49, 68m²12 Departamentos: 6 de 76, 06m² y 6 de 79, 36m²Dos de nuestras suites de planta baja cuentan con área verde de 14, 62m²Cuatro de nuestros departamentos de planta baja cuentan con área verde de 39, 78m², 27, 22m², 25, 96m² y 25, 97m²Etapa C: 8 Suites: 49, 68m²una suite de planta baja cuenta con área verde de 31, 28m²Etapa D: 27 Suites: 49, 68m²14 Departamentos: 7 de 79, 41m² y 7 de 83, 44m²Cinco de nuestras suites en subsuelo y planta baja cuentan con área verde de24, 99m², 25, 13m², 25, 95m²y 25, 99m²Dos de nuestros departamentos de planta baja cuentan con área verde de 48, 01m² y 89, 13m²",./Plusvalia_raw_p4_060924_2243_files/logo_edificio-alba-cumbaya_1606166578926.jpg,Super destacado
USD 166.783,Av. Intervalles y Wilson Cueva,"Vía Intervalles, Quito",USD 460 Alícuota,2 a 3 hab.,3 baños,46 a 88 m² tot.,2 estac.,N/A,N/A,"El Conjunto Residencial adana se encuentra en la Avenida Intervalles y Wilson Cueva, a 150 metros de la Ruta Viva. Adana ofrece 10 casas y 5 departamentos duplex con diferentes diseños y características; adaptándose a las necesidades de sus habitantes. Todas las viviendas cuentan con amplios ventanales y jardines, que permiten disfrutar del maravilloso paisaje, Parqueadores cubiertos, Áreas para máquinas. Bodegas independientes que hacen de cada vivienda un lugar único para vivir. Adana cuenta además con amplias áreas comunales exclusivas como: Gimnasio. Piscina. Sauna, Turno. Área bbq. Más de 1000 m2 de jardines lo convierten en un lugar privilegiado para vivir cerca de la ciudad.",./Plusvalia_raw_p4_060924_2243_files/logo_gobuilders-promotores-servicios-inmobiliarios-s.a._1667348498329.jpg,Super destacado
USD 72.900,La Praga,"Cumbayá, Quito",,1 a 2 hab.,3 baños,73 a 117 m² tot.,1 estac.,N/A,N/A,"El Proyecto azariah es un complejo de suites y departamentos con acabados de lujo, diseñados para asegurar una vista espectacular y máxima comodidad a sus residentes. Por su excelente ubicación junto a importantes vías de fácil y rápido acceso a hospitales, centros comerciales, bancos y el Aeropuerto sin lugar a dudas será el sitio ideal para vivir en comunidad. Cuenta con una generosa área verde y una espectacular área comunal, el marco perfecto para disfrutar la “Vida al Máximo”. El proyecto azariah, ubicado en el corazón de Cumbayá, a 3 minutos del C. C. Scala Shopping y con su diseño aterrazado esta pensado para brindar vistas espectaculares a todas sus suites y departamentos, Todas las suites y departamentos cuentan con terrazas para disfrutar al máximo su magnifico clima y espectaculares vistas. El Proyecto incluye: Suites y estudios desde los 46m2, excelentes para inversionistas gracias a su fácil renta de corto o largo plazo o excelente opción de vivienda para una o dos personas, también somos Pet friendly. Departamentos de 2 dormitorios listos para 18 meses. También incluye: Parqueaderos residenciales. Parqueaderos de visitas. Bodegas. Área de Mascotas. Gimnasio equipado. Terraza Panorámica. Laundry comunal. Business center. Salón comunal. Senderos naturales con espectaculares áreas verdes. Espectacular jacuzzi. Tenemos el estudio modelo listo en el proyecto y podemos agendar una visita para más información. Visítanos en la obra",./Plusvalia_raw_p4_060924_2243_files/logo_grace-villacis_1682830111597.jpg,Super destacado
USD 78.400,"Calle La Primavera N31 lOTE 429 Entre Las Calles Arnoldo Jarsen y Obispo Díaz de la Madrid, Sector Hospital Metropolitano.","Centro Norte, Quito",USD 160 Alícuota,2 a 3 hab.,1 baño,96 m² tot.,1 estac.,N/A,N/A,"Jardín de la Primavera es un conjunto de casas y departamentos disponibles para financiamento vip, estratégicamente ubicado en el Centro Norte de la cuidad de Quito en el sector Hospital Metropolitano. Las casas son de 117m2 totales de 3 dormitorios con parqueo cubierto y bodega frente a la casa. Las amplias áreas comunales dan el nombre a este innovador conjunto, jardin de la primavera, que cuenta con arquitectura y diseño de calidad. Los departamentos de 65m2 y 88m2 de 2 y 3 dormitorios respectivamente cuentan con terraza y un espectacular vista de la ciudad. Visítanos en nuestras oficinas en el Proyecto o nuestras oficinas en la Carolina. Realiza tu cita hoy llamándonos a nuestros teléfonos. Carateristicas de las casas: - Casas de 117m2. - Parqueo Cubierto Frente a la Casa. - Patio Interior 10 m2. - 3 Dormitorios. - Excelente distribución en dos pisos. areas comunales: - 2, 000 M2 de Areas Verdes. - Piscina Cubierta. - Casa Club. - Cancha Deportiva. - Gimnasio. - Juegos Infantiles. - Out Door Yoga. - Pet Friendly. ubicación: - Calle La Primavera N31 lote 429 Entre Las Calles Arnoldo Jarsen y Obispo Díaz de la Madrid, Sector Hospital Metropolitano. - Cuenta con trasporte de Taxi y Buses frente al proyecto. - Hermosa Vista de la Ciudad de Quito. etapas y entregas. Etapa 1 Las Rosas - 17 Casas - Entrega Diciembre 2023. Etapas 2 Las Orquídeas - 34 Casas - Entrega Octubre 2024. Etapa 3 Los Tulipanes - 21 Casas - Entrega Octubre 2025. Etapa 4 Los Girasoles - 60 Departamentos - Entrega Diciembre 2025",./Plusvalia_raw_p4_060924_2243_files/logo_inmoinversiones_1663853497020.jpg,Super destacado
