Precio|Expensas|Dirección|Superficie Total (m²)|Superficie Cubierta (m²)|Ambientes|Baños|Descripción|Agencia|URL Propiedad
118000|20|Mirasierra S/N|135|105|3|2|Mirasierra Departamento Estrenar en Venta|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/mirasierra-departamento-estrenar-en-venta
12685137|40|Pasaje Dolomitas y de los Naranjos S/N|9514|9514|7|2|Monteserrín departamento nuevo|RE/MAX Capital|https://www.remax.com.ec/listings/monteserrin-departamento-nuevo-6
15284882|40|Pasaje Dolomitas y de los Naranjos S/N|10718|10718|5|2|Monteserrin departamento nuevo|RE/MAX Capital|https://www.remax.com.ec/listings/monteserrin-departamento-nuevo-5
18727932|40|Pasaje Dolomitas y de los Naranjos S/N|12306|12306|7|2|Monteserrín departamento nuevo|RE/MAX Capital|https://www.remax.com.ec/listings/monteserrin-departamento-nuevo-3
18230855|40|Pasaje Dolomitas y de los Naranjos S/N|12708|12708|7|2|Monteserrín departamento nuevo|RE/MAX Capital|https://www.remax.com.ec/listings/monteserrin-departamento-nuevo-2
127000|88|San Francisco de la Pita S/N|94|94|4|2|DEPARTAMENTO EN VENTA, EL BOSQUE, 94M2.|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/departamento-en-venta-el-bosque-94m2
206000|147|La Carolina S/N|18776|11639|4|2|Departamento en Venta a una cuadra del Quicentro|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/departamento-en-venta-a-una-cuadra-del-quicentro
270000|276|Pasaje Salazar Km 9 de la Ruta Viva S/N|56566|18266|6|2|Departamento en venta PB con jardín en Tumbaco|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/departamento-en-venta-pb-con-jardin-en-tumbaco
119000|89|Francisco Hernández Girón 0|141322|11332|6|2|DEPARTAMENTO TRES DORMITORIOS RUMIPAMBA|RE/MAX Futuro|https://www.remax.com.ec/listings/departamento-tres-dormitorios-rumipamba
71825|74|F S/N|110|86|6|2|PINAR ALTO DEPARTAMENTO 2 DORMIT 2 PARQ|RE/MAX Futuro|https://www.remax.com.ec/listings/pinar-alto-departamento-2-dormit-2-parq
190000|N/A|Manuel Guzmán S/N|280|240|7|3|VENDO DEPARTAMENTO 4D DUPLEX CON JARDIN|RE/MAX Futuro|https://www.remax.com.ec/listings/vendo-departamento-4d-duplex-con-jardin
280000|1|Gonzales Suarez S/N|325|305|8|3|Departamento en Venta Gonzalez Suarez|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/departamento-en-venta-gonzalez-suarez
75000|64|Av. 6 de Diciembre S/N|71|53|3|1|SUITE SECTOR LA PAZ AV. ORELLANA|RE/MAX Futuro|https://www.remax.com.ec/listings/suite-sector-la-paz-av-orellana
145000|85|Francisco Granizo 0|22286|11786|5|2|DEPARTAMENTO EN VENTA PONCEANO BALCON DEL NORTE|RE/MAX Capital|https://www.remax.com.ec/listings/departamento-en-venta-ponceano-balcon-del-norte-3
123000|85|Avenida Diego Vásquez de Cepeda S/N|20444|8344|5|2|DEPARTAMENTO EN VENTA PONCEANO BALCON DEL NORTE|RE/MAX Capital|https://www.remax.com.ec/listings/departamento-en-venta-ponceano-balcon-del-norte-2
105000|85|Francisco Granizo S/N|10138|869|5|2|DEPARTAMENTO EN VENTA PONCEANO BALCON DEL NORTE|RE/MAX Capital|https://www.remax.com.ec/listings/departamento-en-venta-ponceano-balcon-del-norte-1
130000|85|Francisco Granizo S/N|15466|10794|6|2|DEPARTAMENTO EN VENTA PONCEANO BALCON DEL NORTE|RE/MAX Capital|https://www.remax.com.ec/listings/departamento-en-venta-ponceano-balcon-del-norte
450000|333|El Bosque S/N|33715|280|5|3|El Bosque Departamento en Venta|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/el-bosque-departamento-en-venta
47000|30|San Miguel de Anagaes S/N|9413|7145|4|2|VENDO DEPARTAMENTO 71.45 m2 A. UTIL (ISM SCHOOL)|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/vendo-departamento-71-45-m2-a-util-ism-school
50000|20|Quitumbe Rucullacta 0|8332|7228|5|2|EN VENTA DEPARTAMENTO, QUITUMBE, CJTO SAN GABRIEL|RE/MAX Impacta|https://www.remax.com.ec/listings/en-venta-departamento-quitumbe-cjto-san-gabriel
79000|20|N53l S/N|10963|10363|3|2|VENTA DEPARTAMENTO 3D SECTOR EMBAJADA AMERICANA|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/venta-departamento-3d-sector-embajada-americana
165000|N/A|Cofavi, Miguel Zambrano - N56-84 S/N|401|331|14|4|CASA RENTERA SECTOR COFAVI|RE/MAX Advance|https://www.remax.com.ec/listings/casa-rentera-sector-cofavi
216000|171|Austria E Irlanda S/N|16176|15726|7|2|DEPARTAMENTO EN VENTA, SECTOR REP. DEL SALVADOR|RE/MAX Advance|https://www.remax.com.ec/listings/departamento-en-venta-sector-rep-del-salvador
79900|80|Avenida República de el Salvador S/N|83|80|4|1|Venta Suite con balcón - República del Salvador|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/venta-suite-con-balcon-republica-del-salvador
