Precio|Ubicación|Área|Habitaciones|Baños|Agencia|Fecha Publicación
124000|Ponceano, Norte De Quito, Quito, Pichincha|144|3|3|GS CONSTRUCCIONES Y BIENES RAÍCES|Publicado 13/06/2024
270000|Gonzalez Suarez, Iñaquito, Centro Norte, Quito, Pichincha|164|2|3|Inmoejecutivos|Publicado 22/07/2024
156000|Cumbaya, Valle Tumbaco, Quito, Pichincha|110|2|3|Emma Barragán|Publicado hace 2 semanas, 1 día
90000|Bellavista, Iñaquito, Centro Norte, Quito, Pichincha|70|2|2|Emma Barragán|Publicado hace 2 semanas, 1 día
220000|Cumbaya, Valle Tumbaco, Quito, Pichincha|155|3|2|Inmoejecutivos|Publicado 28/06/2024
683000|Cumbaya, Valle Tumbaco, Quito, Pichincha|527|4|5|Proyectos con Futuro|Publicado 13/03/2024
118000|El Batan, Iñaquito, Centro Norte, Quito, Pichincha|120|3|2|Inmoejecutivos|Publicado 19/06/2023
229000|Cumbaya, Valle Tumbaco, Quito, Pichincha|186|2|2|Inmoejecutivos|Publicado 09/07/2024
134000|Bellavista, Iñaquito, Centro Norte, Quito, Pichincha|136|3|3|Emma Barragán|Publicado hace 2 semanas, 1 día
220000|El Bosque, Cochapamba, Centro Norte, Quito, Pichincha|327|4|5|Emma Barragán|Publicado 19/08/2024
245000|Bellavista, Iñaquito, Centro Norte, Quito, Pichincha|300|4|5|Emma Barragán|Publicado hace 2 semanas, 1 día
94000|El Condado, Norte De Quito, Quito, Pichincha|116|2|3|Emma Barragán|Publicado hace 2 semanas, 1 día
149600|Centro Norte, Quito, Pichincha|86|2|3|Intramuros Constructora|Publicado 16/07/2024
106515|Cumbaya, Valle Tumbaco, Quito, Pichincha|55|1|1|Intramuros Constructora|Publicado 11/07/2024
305652|Cumbaya, Valle Tumbaco, Quito, Pichincha|159|3|4|Intramuros Constructora|Publicado 11/07/2024
97488|Bellavista, Iñaquito, Centro Norte, Quito, Pichincha|63|1|2|SU CASA SOBRE LA ROCA|Publicado 09/02/2024
189516|Cumbaya, Valle Tumbaco, Quito, Pichincha|137|2|3|SU CASA SOBRE LA ROCA|Publicado 25/02/2024
68000|La Magdalena, Sur De Quito, Quito, Pichincha|64|2|1|SU CASA SOBRE LA ROCA|Publicado 11/08/2022
168255|Jipijapa, Centro Norte, Quito, Pichincha|95|2|2|SU CASA SOBRE LA ROCA|Publicado 04/01/2024
92087|La Magdalena, Sur De Quito, Quito, Pichincha|104|3|2|SU CASA SOBRE LA ROCA|Publicado 05/12/2023
93945|La Magdalena, Sur De Quito, Quito, Pichincha|104|3|2|Sonia Herrera|Publicado 07/02/2024
97876|La Carolina, Iñaquito, Centro Norte, Quito, Pichincha|35|1|1|SU CASA SOBRE LA ROCA|Publicado 23/03/2023
80524|La Carolina, Iñaquito, Centro Norte, Quito, Pichincha|28|1|1|SU CASA SOBRE LA ROCA|Publicado 06/12/2023
211980|El Batan, Iñaquito, Centro Norte, Quito, Pichincha|112|3|3|SU CASA SOBRE LA ROCA|Publicado 09/08/2023
63987|La Magdalena, Sur De Quito, Quito, Pichincha|61|2|2|Sonia Herrera|Publicado 27/09/2023
145000|Centro Norte, Quito, Pichincha|90|2|2|Sandra Rodríguez|Publicado 07/08/2024
110000|Centro Norte, Quito, Pichincha|79|1|2|Intramuros Constructora|Publicado 16/07/2024
300551|Centro Norte, Quito, Pichincha|157|3|3|Intramuros Constructora|Publicado 16/07/2024
428502|Cumbaya, Valle Tumbaco, Quito, Pichincha|249|3|4|Intramuros Constructora|Publicado 16/07/2024
627486|Cumbaya, Valle Tumbaco, Quito, Pichincha|464|3|4|Intramuros Constructora|Publicado 16/07/2024
