Precio|Expensas|Dirección|Superficie Total (m²)|Superficie Cubierta (m²)|Ambientes|Baños|Descripción|Agencia|URL Propiedad
12617637|40|Pasaje Dolomitas y de los Naranjos S/N|9514|9514|6|2|Cerca a monteserrin departamentos nuevos Bromelias|RE/MAX Capital|https://www.remax.com.ec/listings/cerca-a-monteserrin-departamentos-nuevos-bromelias-11
214200|230|Gaspar de Villarroel y Cochapata S/N|542|287|10|4|Apartamentos de 4 habitaciones El Batan 287m2|RE/MAX Capital|https://www.remax.com.ec/listings/apartamentos-de-4-habitaciones-el-batan-287m2
85000|30|Quintillano Sanchez S/N|20313|111|4|2|EL DORADO, DEPARTAMENTO 165M2, 3DORMI|RE/MAX Capital|https://www.remax.com.ec/listings/el-dorado-departamento-165m2-3dormi
54000|38|Gral. José María Guerrero S/N|741|665|5|1|Departamento en Venta al Norte de Quito|RE/MAX Impacta|https://www.remax.com.ec/listings/departamento-en-venta-al-norte-de-quito
85000|75|De los Álamos S/N|139|115|9|2|VENTA DEPARTAMENTO A ESTRENAR SECTOR AMBAJADA USA|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/venta-departamento-a-estrenar-sector-ambajada-usa
160056|40|Pasaje Dolomitas y de los Naranjos S/N|12191|12191|5|1|Departamento en Venta Monteserrin 121,91m2 B01|RE/MAX Capital|https://www.remax.com.ec/listings/departamento-en-venta-monteserrin-121-91m2-b01
39800|1|Miguel Riofrio S/N|8701|7201|3|2|En Venta Departamento, Conocoto|RE/MAX Impacta|https://www.remax.com.ec/listings/en-venta-departamento-conocoto
135000|115|Rusia S/N|64|60|4|1|SUITE DE VENTA SECTOR LA CAROLINA|RE/MAX Futuro|https://www.remax.com.ec/listings/suite-de-venta-sector-la-carolina
185000|180|Urb. el Condado S/N|229|128|8|2|VENTA DEPARTAMENTO URB. EL CONDADO JARDÍN|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/venta-departamento-urb-el-condado-jardin
69990|97|Av. Naciones Unidas S/N|70|57|4|1|LA CAROLINA SUITE 70M2 EN PISO 6, ASCENSOR, NNUU|RE/MAX Futuro|https://www.remax.com.ec/listings/la-carolina-suite-70m2-en-piso-6-ascensor-nnuu-1
49990|44|Rio Tulipe 0|86|70|8|1|DEPARTAMENTO EN VENTA, LOMAS DEL CONDADO|RE/MAX Supremo|https://www.remax.com.ec/listings/departamento-en-venta-lomas-del-condado
132500|90|Azcunaga S/N|123|113|4|2|VENDO DEPARTAMENTO QUITO TENNIS CON PATIO|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/vendo-departamento-quito-tennis-con-patio
84900|N/A|Luis Cordero S/N|145|145|6|2|EN VENTA DEPARTAMENTO 3 DORMITORIOS. LA MARISCAL|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/en-venta-departamento-3-dormitorios-la-mariscal
98000|15|Jorge Juan 600|16845|11635|8|2|SE VENDE DEPARTAMENTO REMODELADO MARIANA DE JESUS|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/se-vende-departamento-remodelado-mariana-de-jesus
45000|5|Mariscal Antonio Jose de Sucre S/N|80|80|4|1|*Venta de Departamento en San Carlos*|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/venta-de-departamento-en-san-carlos
60000|N/A|S.jose de Guamani 0|17722|155|5|1|Departamento de Venta al Sur de Quito ,Turubamba .|RE/MAX Capital|https://www.remax.com.ec/listings/departamento-de-venta-al-sur-de-quito-turubamba
74000|45|Mariano Pozo S/N|129|128|5|2|Departamento en venta en Ponceano|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/departamento-en-venta-en-ponceano
146000|170|Granda Centeno S/N|172|122|8|2|VENTA DEPARTAMENTO SECTOR GRANDA CENTENO - PATIO I|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/venta-departamento-sector-granda-centeno-patio-i
84000|80|Juan Díaz S/N|14385|11085|5|2|Departamento en venta de 110M2 en Iñaquito Alto|RE/MAX Capital|https://www.remax.com.ec/listings/departamento-en-venta-de-110m2-en-inaquito-alto
89900|25|Galo Plaza Lasso 500|149|130|4|2|DEPARTAMENTO DÚPLEX EN VENTA GALO PLAZA LASSO 3D|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/departamento-duplex-en-venta-galo-plaza-lasso-3d
42000|20|23 de Junio S/N|84|73|6|1|VENTA DEPARTAMENTO COTOCOLLAO|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/venta-departamento-cotocollao
75000|75|Leonidas Plaza S/N|731|6023|3|1|DEPARTAMENTO SUITE EN VENTA, MARISCAL SUCRE.|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/departamento-suite-en-venta-mariscal-sucre
135000|N/A|Edificio Louvre Quito S/N|98|91|5|2|DEPARTAMENTO EN VENTA / SECTOR GRANADOS|RE/MAX Impacta|https://www.remax.com.ec/listings/departamento-en-venta-sector-granados
320000|300|Calle 1 0|201|170|12|3|SE VENDE DEPARTAMENTO DE 3 HABITACIONES EN CUMBAYA|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/se-vende-departamento-de-3-habitaciones-en-cumbaya
