Precio,Ubicación,Ciudad,Expensas,Habitaciones,Baños,Área,Estacionamientos,Precio/m²,Fecha de Publicación,Descripción,Logo Agencia,Destacado
USD 420.000,COLEGIO MENOR,"Cumbayá, Quito",USD 357 Alícuota,2 hab.,3 baños,301 m² tot.,4 estac.,N/A,N/A,"Nexos realty vende / arrienda / alquila departamento en Edificio diseñado por Londoño Arquitectos; excelentes acabados!! Colegio Menor!! • Departamento de 222 m2. • Además, sala exterior de 44 m2 + jardín. • Terraza privada de 35 m2. • Tres (3) habitaciones completas. • Sala / comedor con doble altura. • Habitación y baño de servicio. • Cuatro (4) parqueaderos. • Terraza comunal. • Dos (2) entradas. • Entrada principal. • Entrada de servicio: jardinero, empleados. • Dos (2) chimeneas exteriores, cubiertas. • Área de servicio, lavadora, secadora. • Cuarto y baño de empleada. • Parqueaderos de visita. • Seguridad 24/7. • A pocos pasos del Colegio Menor!! • A una cuadra de El Chaquiñán!! • Camina al Parque Central de Cumbayá!! Cumbayá: Es una de las parroquias (no tan) rurales del cantón Quito (Provincia de Pichincha) en Ecuador. A solo unos 15 – 20 minutos de Quito, es una de sus parroquias más antiguas y tradicionales; ubicada en el gran Valle de Tumbaco. Debido a una urbanización acelerada, en los últimos años se ha convertido en una zona residencial/ comercial de mucho auge, prestigio y movimiento, aunque con menos campo y más tráfico; pero, sigue siendo el lugar preferido de muchas familias jóvenes para vivir por su clima y las conveniencias que ofrece. La parroquia de Cumbayá tiene un clima entre cálido y templado, con una temperatura que oscila entre 12°C a 21°C, según la altitud. La parroquia tiene una temperatura media anual de 16, 4 °C y una precipitación media mensual de 1. 166, 5 milímetros (mm). Cumbayá ofrece las conveniencias de la ciudad en un entorno más tranquilo pero cosmopolita: entretenimiento, centros comerciales, hospitales, colegios, universidades, vida nocturna, opciones para hacer deporte al aire libre, ciclovías, transporte público, etc. ; todo con varios accesos rápidos a las vías principales, y una amplia oferta de servicios con clima privilegiado. Cumbayá está ubicada a unos treinta minutos del aeropuerto internacional de Tababela, y a unos 20 minutos de uno de los mejores campos de golf del continente, en el Country Club Arrayanes!! Comunícate con Nexos Realty para conocer mejor las oportunidades del sector!!",./Plusvalia_raw_p9_060924_2243_files/logo_nexos-realty_1718643766032.jpg,Super destacado
USD 202.354,CUMBAYA - INTERVALLES,"Cumbayá, Quito",,2 hab.,3 baños,140 m² tot.,2 estac.,N/A,N/A,"¡cumbaya - intervalles! Un nuevo concepto de arquitectura moderna y elegante. Exclusivo apartamento diseñado por Londoño arquitectos con ambientes pensados en tu comodidad, acabados de lujo y presencia permanente de verde natural. Este magnifica propiedad te ofrece amplios jardines y terrazas donde se aprovechan las áreas comunes, espacios para trabajar desde casa y disfrutar de un clima excepcional. Ubicación. Convenientementesituado en la Av. Intervalles, a 3 minutos del Scala Shopping y Hospital de los Valles, 6 minutos de la usfq y Paseo San Francisco, con rápido acceso a la Av. Interoceánica y la Ruta Viva. Sobre la propiedad. Diseño arquitectónico contemporáneo | Zona residencial de alta plusvalía | Entorno encantador y seguro | Amplios y generosos ambientes | 95. 28 m2 área interior | Terraza 17. 67 m2 | Área jardín 28 m2 | 140. 95 m2 Área Total | Acabados de Lujo | Sala | Comedor|Cocina estilo americano| Sala Exterior| 2 Habitaciones | Máster con walk in closet y baño con doble lavabo | Habitación secundaria con baño | Baño social | Área de lavado | Bodega | 2 Parqueaderos| amenities. Hidromasaje | Lounge Bar | Lounge | Área bbq | Horno de Leña | Sala de tv | Gimnasio | Áreas Verdes | Jardines | Terraza| servicios. Lobby | Ascensor | Sistema integral de doble seguridad: Guardianía 24 horas, Cámaras y Video Vigilancia | Estacionamiento de visitas | Planta eléctrica |Cisterna| valor $ 202. 354. 69. en costrucción. apat. 002. entrega febrero 2025. planifica tu visita. cbr. wendy lopez. 0. 9. 8. 0. 8. 6. 9. 0. 9. 1. juan carlos rueda. 0. 9. 5. 8. 6. 9. 4. 8. 0. 7",./Plusvalia_raw_p9_060924_2243_files/logo_deluxe-properties_1676655432470.jpg,Super destacado
USD 135.000,Unidad Nacional,"Quito Tenis, Quito",,3 hab.,2 baños,268 m² tot.,2 estac.,N/A,N/A,"182. 61 m2 Área de construcción cubierta. 85. 73 m2 Área de construcción abierta. Dormitorio Master con walk in closet y baño. 1 Dormitorio con closet y baño. Sala / Comedor. Cocina americana. Estudio o sala familiar. Baño social. Balcón. 2 Estacionamientos paralelos cubiertos. 2 Bodegas. Terraza. Edificio no tiene ascensor. Servicios Comunales. Puerta vehicular eléctrica de acceso a la cuchara. Moderno departamento dúplex de con amplios ventanales. Edificio de 3 departamentos dúplex. Departamento en segunda planta, cuenta con terraza. Excelente ubicación con acceso a vías principales, cerca de centros comerciales, de salud y educativos, entre otros. asesor inmobiliario. Yamile Dager. Inmobusiness s. a.",./Plusvalia_raw_p9_060924_2243_files/logo_inmobusiness-s.a._1694815287277.jpg,Super destacado
USD 169.900,Miravalle 4,"Miravalle, Quito",USD 90 Alícuota,3 hab.,2 baños,318 m² tot.,2 estac.,N/A,N/A,"Ubicado en la urbanización segura y exclusiva Miravalle 4, a 5 minutos del centro de Cumbayá se vende departamento de 308 m2 totales y 205 m2 habitables, tipo dúplex, de tres dormitorios con patio privado. Al ingresar, te recibe una luminosa sala de estar que fluye naturalmente hacia un generoso espacio de. Sala comedor creando un ambiente acogedor para reuniones familiares y momentos sociales. La cocina, tiene un desayunador, muebles altos y bajos, buena entrada de sol y ventilación. Área de máquinas cómoda e independiente. Cuenta con tres dormitorios. El dormitorio principal cuenta con vestidor y baño privado. Dos dormitorios comparten un baño, todos los dormitorios tienen entrada de sol. Y cuenta con un espacio adicional destinado a cuarto de estudio o entretenimiento para toda la familia. En la parte posterior cuenta con un patio trasero de 90 m2 que rodea a todo el departamento, un jardín con arboles frutales y área de bbq. El departamento tiene dos parqueaderos y una bodega. La urbanización cuenta con seguridad privada permanente, extensas áreas verdes, parque infantil y canchas deportivas. Alícuota $90, 00",./Plusvalia_raw_p9_060924_2243_files/logo_re-max-asesoria-inmobiliaria_1724768437098.jpg,Super destacado
USD 358.475,ORIZZONTE LUMBISÍ,"Cumbayá, Quito",USD 100 Alícuota,2 hab.,2 baños,273 m² tot.,2 estac.,N/A,N/A,"Nexos Realty vende este y otros hermosos departamentos en planos en orizzonte Cumbayá!! Entrega 2025!! Orizzonte es exclusividad!! Diez (10) hectáreas de terreno campestre delimitadas por la quebrada natural de Chacanahuaycu. Ubicación privilegiada con rápido acceso a la Ruta Viva. Por Auqui Chico, detrás del Colegio Alemán y a pocos minutos de Cumbayá!! Constructora Álvarez Bravo!!  Son 154 m2 de construcción cubierta.  Tres (3) dormitorios y 2. 5 baños.  35 m2 de terraza abierta.  14 m2 de porche.  70 m2 de jardín!!  Parqueaderos.  Bodega. vive en un club privado.  Acceso vehicular y peatonal controlado con tecnología de punta.  Amplias vías vehiculares adoquinadas con estacionamientos para visitas. Tres kilómetros de veredas arborizadas. Más de 2. 000 árboles sembrados a lo largo de la urbanización.  Casa Club con amplio asadero, salón comunal y sala de cine.  Pista de trote y cancha de césped sintético para uso múltiple.  Una urbanización de lujo, rodeada de naturaleza, con espacios diseñados pensando en tu familia.  Dos parques equipados con juegos infantiles.  Parque para mascotas con obstáculos, juegos y diversión canina.  Cancha de tenis con baños y duchas comunales.  Cancha privada de pádel para uso de los habitantes de la urbanización.  Área recreativa abierta de 500 m2 equipada con juegos infantiles y conectada a las áreas comunales del proyecto.  bbq Y fire pit: Espacios exteriores diseñados para disfrutar del clima del valle de Cumbayá  salón comunal Y game room: Espacios de diversión para niños, jóvenes y adultos.  Gimnasio completamente equipado conectado a las áreas húmedas.  Área húmeda completa, con spa, piscina, jacuzzi, turco.  sala de cine: Termina tu día con una película en familia. Para conocer más sobre las oportunidades de inversión en Orizzonte, comunícate con Nexos Realty!!",./Plusvalia_raw_p9_060924_2243_files/logo_nexos-realty_1718643766032.jpg,Super destacado
USD 125.000,Unión Nacional Calle José Paredes,"El Pinar, Quito",,2 hab.,2 baños,124 m² tot.,1 estac.,N/A,N/A,"Ver datos En venta. Departamento con balcón. Sector Unión Nacional. - Precio: $125. 000. - 145 M2 totales. - 3 dormitorios. - Sala comedor. - 2 1/2 baños. - Cocina cerrada. - Área de máquinas. - 1 Parqueo. - 1 bodega. El departamento es esquinero, le entra muy buena iluminación y tiene amplias ventanas",./Plusvalia_raw_p9_060924_2243_files/logo_century-21-elite_1703730978730.jpg,Super destacado
USD 139.000,"Tumbaco, José Hinojosa y Boyaca","Tumbaco, Quito",USD 105 Alícuota,4 hab.,2 baños,121 m² tot.,2 estac.,N/A,N/A,"En venta A estrenar departamento moderno. ubicación: tumbaco-santa ana. Al estar cerca de la Ruta Viva y de la Vía Oswaldo Guayasamin, tendrás acceso rápido y conveniente a diferentes puntos de la cuidad de Quito. Además estarás rodeado de excelentes colegios, universidades y centros comerciales del Valle de Cumbaya. Me complace presentarte una increíble oportunidad de vivienda en el sector de Tumbaco. Tenemos un departamento disponible que estoy seguro de que te encantará. Este moderno departamento cuenta con una: *Superficie total 112, 93m2* *Área depto: 79, 70 m2* Parqueaderos: 30, 04 m2. Bodega: 3, 19 m2. caracteristicas. 2 Dormitorios. 2 Baños Completos. Sala - Comedor. Cocina tipo Americano. Área de lavandería. 2 Parqueaderos. Bodega. amenities del edificio. Este lugar brinda espacios recreacionales y servicios de alta calidad como: Piscina. Área Comunal con bbq y césped con mesas. Terraza con bbq y césped sintético. Gimnasio. precio: $129. 000. Alicuota $ 105. Un ambiente confortable, lleno de hermosos paisajes naturales y una amplia gama de servicios y actividades para todos los gustos. Si estás interesado en obtener más información, podemos programar una visita. Estamos para ayudarte y responder a todas tus preguntas. Solicita tu visita hoy! Ing. Montserrat Núñez. Ver datos",./Plusvalia_raw_p9_060924_2243_files/logo_asesores-inmobiliarios_1717436568806.jpg,Super destacado
USD 255.000,"Isidro Ayora, Cumbayà","Cumbayá, Quito",USD 223 Alícuota,4 hab.,2 baños,285 m² tot.,2 estac.,N/A,N/A,"Vive en la mejor zona de cumbaya con alta plusvalía, cerca al hospital de los valles, universidad san fco, C. C. Scala shopping, av. InteroceÀnica, av. Intervalles, bancos, concesionarios de autos, parques. Gasolineras, ventura mall, etc. Departamento de dos habitaciones con jardín ideal para personas adultas. Habitación masterking con baño completo Y vestidor (salida al jardín) habitación con baño completo Y closet. Baño de social. pequeña sala. cocina abierta estilo americana con muebles altos Y bajos, mesones de cuarzo importado, desayunador. sala Y comedor con espacios abiertos integrados con salida al jardín desde el comedor. area de pergola con bbq. Àrea de máquinas. espectacular jardín de 400 mt2. dos parqueaderos independientes. una bodega. iluminaciÒN decorativa. piso de marmol travertino. cortinas en todas sus áreas. cortinas de vidrio en baños. edificio cuenta con áreas comunes: salón comunal con baños. jardin para eventos. pérgola. hall O recibidor. guardiania 24/ 7. conserje. libre de hipoteca.",./Plusvalia_raw_p9_060924_2243_files/logo_inmoimpakto-inmobiliaria_1606316253342.jpg,Super destacado
USD 349.000,Quito Tenis,"Quito Tenis, Quito",USD 750 Alícuota,3 hab.,4 baños,440 m² tot.,3 estac.,N/A,N/A,"440 m2 Área de construcción. Recibidor con armario para carteras y abrigos. Sala / Comedor. Cuarto de Estudio con Biblioteca. 1 Baño Social. Cocina con cuarto para alacena. Comedor de diario. Cuarto de Lavandería. Sala de tv. 1 Dormitorio master con dos walk in closets y baño con jacuzzi. 2 Dormitorios con baño propio. 1 Cuarto de servicio con baño. 3 Estacionamientos cubiertos. Bodega. Planta eléctrica para el departamento. Áreas comunales. Piscina cubierta. Jacuzzi. Baños y vestidores. Área para bbq. Salón Comunal. Departamento en una planta con vista a la ciudad en un edificio con seguridad 24/7, ubicado en una de los mejores zonas residenciales de Quito, cerca del Club Buena Vista, centros comerciales, restaurantes, farmacias, parques, con fácil acceso a transporte público. Valor de alícuota incluida en el arriendo. Cubre guardianía 24 horas, mantenimiento áreas comunales y consumo de agua de departamento. Asesor inmobiliario. Paulina López. Inmobusiness s. a.",./Plusvalia_raw_p9_060924_2243_files/logo_inmobusiness-s.a._1694815287277.jpg,Super destacado
USD 392.000,EL BOSQUE,"El Bosque , Quito",USD 325 Alícuota,2 hab.,3 baños,410 m² tot.,3 estac.,N/A,N/A,"Departamento en venta con acabados de primer nivel, con vista hacia Quito. Cerca de vías principales. El departamento cuenta con dos ascensores que van directo al departamento uno al área de servicio y otro a la puerta principal. Edificio de 10 pisos. El departamento tiene piso de chanul y mármol. 410 mts2 de construcción. 3 amplios dormitorios con vista. 1 Dormitorio master con walk-in closet y baño completo. 2 Baños completos. 2 balcones. Amplia sala de tv. Dos salas. Comedor. Amplia cocina con des ayunador. Dormitorio de servicio con baño completo. Lacena. Área le lavandería. 3 parqueaderos. 1 bodega. Guardia 24/7. Sonia Mora. asesora inmobiliaira. inmobusness S. A.",./Plusvalia_raw_p9_060924_2243_files/logo_inmobusiness-s.a._1694815287277.jpg,Super destacado
