Precio,Ubicación,Ciudad,Expensas,Habitaciones,Baños,Área,Estacionamientos,Precio/m²,Fecha de Publicación,Descripción,Logo Agencia,Destacado
USD 83.000,Av. Simón Bolívar y calle Marietta de Veintimilla – Sector Pomasqui.,"Pomasqui, Quito",,2 a 3 hab.,2 baños,185 m² tot.,1 estac.,N/A,N/A,"Exclusivo conjunto privado de 40 casas esquineras de 180m2 y 18 departamentos de 92m2. Te ofrecemos espacios comunales con piscina, cancha de uso múltiple, zona de bbq y único conjunto habitacional con Plaza Comercial de amplios y modernos locales. Katara casas. - Único proyecto en la zona con Plaza Comercial. Distribuidos en 3 plantas, 2 parqueaderos laterales independientes, 3 dormitorios máster con su baño, cuarto de lavado, patio posterior y zona bbq con pérgola. Casas con opciones de financiamiento vip: $105, 070. 00 con cuotas mensuales desde $606. 30 (Cuota estimada con condiciones para créditos vip a 25 años con tasa de interés del 4, 99% anual, no incluye seguros). - Área Habitable: 116, 00 m2. - Área Abierta: 64, 00 m2. - Área Total: 180, 00 m2. Primera Planta. - Cocina estilo americana. - Sala – comedor. - Baño social. - Bodega. - Patio posterior. - 2 parqueaderos laterales independientes. - Porche delantero. Segunda Planta. - 2 dormitorios máster con baños independientes. Tercera Planta. -Dormitorio máster con walking closet y baño. - Terraza que conecta al dormitorio. - Cuarto de lavado independiente. katara departamentos. – Único proyecto de departamentos en la zona con Plaza Comercial. Ubicado en un edificio independiente de 4 plantas con ascensor privado, cuenta con 18 departamentos distribuidos en 92m2, con 2 habitaciones master, sala, comedor, cocina y una amplia terraza de 12 m2. Departamentos con opciones de financiamiento vip: $83. 000. 00 con cuotas mensuales desde $580. 00 (Cuota estimada con condiciones para créditos vip a 25 años con tasa de interés del 4, 99% anual, no incluye seguros). - Área Habitable 80, 00 m2. - Área Terraza 12, 00 m2. - Área Total 92, 00 m2. Planta Departamentos. - Cocina estilo americana. - Sala – comedor. - Baño social. - Bodega. - Terraza con vistas. - 1 parqueadero cubierto en planta baja. La zona cuenta con cálido clima, a tan solo minutos de Centros Comerciales, Colegios, Hospitales, Centros de Salud y Restaurantes. Amenities (casa Y departamento) • Guardianía. • Zona bbq. • Kids Room. • Salón Comunal. • Gimnasio. • Piscina. • Más de 1300m2 de Áreas Verdes. • Zona Pet Friendly. • Cancha Deportiva de uso. • Estacionamientos de visitas. espacios interiores con acabados de Lujo. • Muebles fijos Madeval. • Gritería y sanitarios fv. • Pisos de Porcelanato. • Mesones de Cuarzo blanco en cocina. • Puertas marca timber wave. • Ventanas de piso a techo. • Estructura sismo resistente de hormigón armado Hierro Adelca, • Estructura Chimborazo. • Iluminación soterrada áreas públicas del conjunto. • Alcantarillado y Agua Potable con medidores independientes. Para mayor información por favor comunícate con nuestro departamento de ventas. Ver datos",./Plusvalia_raw_p8_060924_2243_files/logo_bima-constructora_1693598347241.jpg,Super destacado
USD 82.000,Lirios de  Carcelén,"Carcelén, Quito",USD 270 Alícuota,3 hab.,3 baños,160 m² tot.,2 estac.,N/A,N/A,"Lindo departamento por Estrenar. Dentro de Urbanización. Lirios de Carcelén. Edificio Moe. Segundo piso con balcón. 3 dormitorios. 2 dormitorios. Cocina americana, mesones de granito. Muebles altos y bajos. 1 parqueo. Terraza privada. Edificio con Seguridad. Aplica crédito Vip",./Plusvalia_raw_p8_060924_2243_files/logo_inmoimpakto-inmobiliaria_1606316253342.jpg,Super destacado
USD 180.000,Bossano-sector Bellavista,"Bellavista, Quito",USD 30 Alícuota,3 hab.,2 baños,196 m² tot.,1 estac.,N/A,N/A,"Espectacular departamento de 3 dormitorios, moderno y con acabados de primera. Se encuentra ubicado en uno de los sectores más exclusivos de la ciudad, ofreciéndote &quot;la comodidad de una vida urbana&quot;, con seguridad y una excelente ubicación. Tiene un diseño espectacular que te brindará gran bienestar. ¡Este es el lugar que habías estado buscando! descripcion: * Superficie de 156m2 habitables* 1 recibidor-entrada* 1 dormitorio master muy amplio con 2 closets grandes* 2 dormitorios adicionales con closets grandes* 1pérgola cubierta* 2 baños completos* 1 baño social* Cocina con área-comedor del diario* Área de lavadora/secadora* 1 baño completo - servicio* Sala + comedor (amplio ventanal con balcón para disfrutar de una bonita vista) * 2 parqueaderos subterráneos* 1 bodega grandeadicionales: * Área comunal - semi cubierta * Área bbq-comunal* Línea telefónica* Sistema de alarma de seguridad* Sala comunal * 1 ascensor* Seguridad 24/7* Gas centralizado* Generador eléctrico* Cisterna grande* Seguridad contra incendios-Edificio* Puertas eléctricas* Parqueaderos de visitas subterráneosprecio venta: $180. 000precio renta: $950Te invito a conocer este hermoso y moderno departamento. Agenda tu cita ya! Estamos para servirte. Estamos felices de atenderte, somos Hauser Ecuador ! ! Pregúntanos por nuestros recorridos online o más opciones inmobiliarias para ti.",./Plusvalia_raw_p8_060924_2243_files/logo_hauser-ecuador_1675785942321.jpg,Super destacado
USD 69.000,Puente 2 Autopista General Rumiñahui,"Los Chillos, Quito",USD 150 Alícuota,4 hab.,2 baños,174 m² tot.,2 estac.,N/A,N/A,"Vivir en el sector del Puente Dos, cerca de Quito y el Valle de Los Chillos, es una ventaja sin igual. Este lugar estratégico te ofrece lo mejor de ambos mundos: la cercanía a la vibrante vida urbana de Quito y la tranquilidad y belleza natural del Valle de Los Chillos. Imagina tener acceso rápido y conveniente a los servicios, empleo y entretenimiento que ofrece la capital, mientras disfrutas de un ambiente sereno y relajado en tu hogar. Además, estarás rodeado de impresionantes paisajes, montañas majestuosas y exuberante vegetación. Podrás disfrutar de actividades al aire libre, como caminatas, paseos en bicicleta y picnics en hermosos parques cercanos. Además, contarás con una excelente conectividad vial y transporte público para facilitar tus desplazamientos. No pierdas la oportunidad de vivir en un lugar que combina lo mejor de dos mundos y mejora tu calidad de vida. Departamento Duplex de Venta en el Valle de Los Chillos. Puente 2, Conj. Puerta del Sol. Ciudad Jardin 2. Hermosa Vista al Valle, facilidad de transporte público. Cuenta con: Salacomedorcocina abiertaarea de máquinas4 habitaciones. 2 habitaciones comparten un baño completo1 habitación con baño completoCuarto master con baño completo y salida a Terraza. Sala de EstarBodegaParqueaderoValor Ver datosusd negociablesÁrea de Terreno 204m. Área de construcción 174m.",./Plusvalia_raw_p8_060924_2243_files/logo_amg-inmobiliaria_1695676496160.jpg,Super destacado
USD 153.000,Churoloma,"Tumbaco, Quito",USD 88 Alícuota,3 hab.,3 baños,121 m² tot.,1 estac.,N/A,N/A,"121. 19m² área de construcción. 3 dormitorios. 2 baños completos. 1 baño social. Cocina. Sala/ Comedor. 2 Parqueaderos cubiertos. 1 Bodega. Departamento para estrenar de venta en Tumbaco, ubicado en Churoloma. En la vía del Chaquiñan. El edificio en construcción cuenta con un diseño moderno, terraza comunal con Area de bbq, Vista Panorámica y ascensor. El departamento esta ubicado en el 3er piso, es amplio y con buena iluminación. El plazo de entrega del departamento es entre 3 meses a 5 meses una vez aceptada la oferta. Asesor Inmobiliario. daniela molina. Inmobusiness s. a.",./Plusvalia_raw_p8_060924_2243_files/logo_inmobusiness-s.a._1694815287277.jpg,Super destacado
USD 125.000,Amplio Departamento en Venta 3 Dormitorios,"Mariana de Jesús, Quito",USD 182 Alícuota,3 hab.,3 baños,136 m² tot.,2 estac.,N/A,N/A,"Luminoso departamento, situado en el séptimo piso, ofrece una vista impresionante y una ubicación inmejorable. Ubicado en una zona privilegiada, estarás a solo unos pasos del Mall El Jardín, rodeado de una variada oferta de comercios, restaurantes y zonas de entretenimiento. Disfruta de la máxima comodidad y conveniencia que mereces en un lugar donde todo está al alcance de tu mano. ¡No pierdas la oportunidad de vivir en un lugar que combina la comodidad urbana con la tranquilidad! Características: -3 Dormitorios; armarios empotrados, dormitorio master con baño propio con tina. -2 baños completos (tina y ducha) y 1 baño social. -Cocina con extractor y espacio para lavadora y secadora. -Incluye escritorio y armario en el pasillo. -Amplia bodega. -Terraza con piedra de lavar. -Seguridad las 24 horas. -1 parqueadero con opción de adquirir 1 o 2 parqueaderos adicionales. -Parqueadero de bicicletas. -Cerca de áreas verdes. No dejes pasar esta oportunidad de adquirir un espacioso departamento en el codiciado sector de Mariana de Jesús en Quito. Con todas las comodidades que necesitas para una vida confortable y segura, este hogar ofrece el espacio perfecto para ti y tu familia. Contáctanos hoy mismo para más detalles o para programar una visita. Estamos felices de atenderte, somos Hauser Ecuador ! ! Pregúntanos por nuestros recorridos online o más opciones inmobiliarias para ti.",./Plusvalia_raw_p8_060924_2243_files/logo_hauser-ecuador_1675785942321.jpg,Super destacado
USD 205.000,Col Albert Einstein,"El Condado, Quito",USD 100 Alícuota,3 hab.,2 baños,320 m² tot.,2 estac.,N/A,N/A,"347m2 área total. 173m2 área cubierta. 154m2 área de terraza. 3 dormitorios, master con walking closet. 3 baños. 1/2 baño. 2 parqueaderos. 1 bodega. sala, comedor, cocina con mesones de granito, hornillas de inducción, horno, extractor. sala de tv. estudio. baño social. terraza con pérgola. área infantil con césped sintético y pared para escalar. área de maquinas. área de lavandería. Te voy a contar sobre esta increíble oportunidad, el departamento esta bien ubicado, cuenta con amplios espacios, donde vas a vivir cómodamente, tiene una sala de tv donde podrás ver tus peliculas favoritas, y un estudio ideal para trabajar en casa. La terraza es enorme, ideal para reuniones al aire libre con una gran vista. Además todas estas comodidades tienes una zona infantil específicamente para que tus niños lo disfruten sin forma segura. Tiene excelentes acabados de primera calidad, y el departamento se encuentra en un edificio muy seguro, para que vivas con toda tranquilidad. Te gastaría visitarlo? Que esperas agendemos una cita! Asesora Inmobiliaria. Lorena del Campo. Ver datos. Inmobussiness. S. A.",./Plusvalia_raw_p8_060924_2243_files/logo_inmobusiness-s.a._1694815287277.jpg,Super destacado
USD 180.000,CUMBAYA,"Cumbayá, Quito",USD 600 Alícuota,2 hab.,4 baños,177 m² tot.,3 estac.,N/A,N/A,"Departamento con balcon en cumbaya sector la primavera. 131. 02 m2 Área de construcción cerrada. 11. 61 m2 Área de construcción abierta. Sala/ Comedor que se conecta con un balcón, bonita vista! Cocina americana. Dormitorio Master con walk in closet y baño. Dormitorio secundario con closets y baño completo. Sala de estar o estudio. Baño Social. Cuarto de lavandería. Balcón. 2 Estacionamientos. 1 Bodega. Áreas comunales. Guardianía presencial 24 horas. Áreas verdes. Piscina. Área bbq. Área juegos para niños. Gimnasio. Ascensor. Moderno departamento en segundo piso de edificio distribuido en 2 torres de 6 pisos. El departamento cuenta con acabados de primera, amplias ventanas y balcón. El departamento es muy iluminado. El edificio cuenta con cerramiento y guardianía las 24 horas. Su ubicación es ideal, cerca a la Ruta Viva e Interoceánica. Cerca de centros comerciales, colegios, hospitales, restaurantes, etc. Precio venta $180. 000",./Plusvalia_raw_p8_060924_2243_files/logo_cubica-asesoria-inmobiliaria.jpg,Super destacado
USD 433.000,Gonzalez Suarez y San Ignacio,"González Suárez, Quito",USD 237 Alícuota,4 hab.,2 baños,530 m² tot.,2 estac.,N/A,N/A,"Disfruta este penthouse a estrenar toda la remodelación moderna de este hermoso departamento duplex ubicado en la zona más exclusiva de Quito. 3 Dormitorios completos con walking closet y baño completo modernos. Elegante baño social. Cuarto de servicio baño completo. Aréa para estudio o Sala de estar con chimenea. Sala principal con vista panorámica. Comedor amplio con vista panóramica. Cocina moderna, muebles empotrados modernos, espacio con total amplitud y confort. Luminoso. Balcon terraza con vista privilegiada. Parte alta puede ser utilizxada como una Suite tiene accesos independientes dentro del mismo departamento, accesos independientes a terrazas, un espacio amplio y confortable para una sala privada. Terrazas panorámica vista 360grados. Amenities exclusivos. Piscina, Sauna, Turco, Gimnasio, Área de juegos de mesa. 3 parqueaderos. dos ascensores (uno propietarios, otro uso servicio, choferes) Totalmente Seguro",./Plusvalia_raw_p8_060924_2243_files/logo_inmoimpakto-inmobiliaria_1606316253342.jpg,Super destacado
USD 228.000,BATAN ALTO,"El Batán, Quito",USD 130 Alícuota,2 hab.,2 baños,170 m² tot.,1 estac.,N/A,N/A,"170, 75 m2 Área de construcción. 125, 25 m2 Área habitable. 45, 5 m2 Área terraza. 2 Dormitorios, master con hidromasaje incorporado en la ducha. 2 Baños completos. Sala / comedor. 1 Baño social. Cocina tipo americana. Área de Lavadora y secadora. Sala comunal con cocina, mesa y sillas. Piscina. Hidromasaje. Sauna / Turco. baños, vestidores, y duchas. Sala de Juegos para niños con futbolín y mesa de ping pong. Gym, acceso con clave. Huerto. Sala de Lectura. Pared de escalar. Área de bbq. Área para trotar o caminar rodeado de naturaleza. Ubicado en la primera planta de dificio con 7 pisos. En zona exclusiva y segura. Acceso al departamento con clave. Cerca al parque metropolitano, centros comerciales y Av. Simón Bolívar. asesor inmobiliario. Gabriela Zambrano. Inmobusiness s. a.",./Plusvalia_raw_p8_060924_2243_files/logo_inmobusiness-s.a._1694815287277.jpg,Super destacado
