Precio|Expensas|Dirección|Superficie Total (m²)|Superficie Cubierta (m²)|Ambientes|Baños|Descripción|Agencia|URL Propiedad
69000|N/A|E16b S/N|978|9278|5|2|VENTA DE DEPARTAMENTO A ESTRENAR|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/venta-de-departamento-a-estrenar
85000|N/A|Gonzalo Zaldumbide S/N|23293|1478|8|2|Departamento en Venta, Sector La Kennedy, Quito|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/departamento-en-venta-sector-la-kennedy-quito
85000|N/A|De los Lirios y Julio Arellano 0|10434|10434|8|2|Departamento #7 en Venta, Monteserrín Quito|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/departamento-7-en-venta-monteserrin-quito
85000|N/A|De los Lirios 0|10811|10811|8|2|Departamento #6 en Venta, Monteserrín Quito|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/departamento-6-en-venta-monteserrin-quito
85000|N/A|De los Lirios y Julio Arellano 0|10811|10811|8|2|Departamento #5 en Venta, Monteserrín Quito|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/departamento-5-en-venta-monteserrin-quito
85000|N/A|De los Lirios y Julio Arellano 0|10545|10545|8|2|Departamento #3 en Venta, Monteserrín Quito|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/departamento-3-en-venta-monteserrin-quito
125000|20|Gaspar de Villarroel y San Cristobal S/N|212|200|12|2|En venta Departamento 200 M2 Gaspar de Villarruel|RE/MAX Capital|https://www.remax.com.ec/listings/en-venta-departamento-200-m2-gaspar-de-villarruel
57500|15|Francisco de Caldas y Av. Pichincha S/N|72|72|6|1|Vendo Departamento sector Banco Central|RE/MAX Capital|https://www.remax.com.ec/listings/vendo-departamento-sector-banco-central
179900|100|Francisco Granizo Rivadeneira S/N|22548|18626|8|3|DEPARTAMENTO DE 225,48M2 URB BALCON DEL NORTE|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/departamento-de-225-48m2-urb-balcon-del-norte
95000|89|Manuel Valdiviezo S/N|135|130|12|2|VENTA DEPARTAMENTO PINAR ALTO 135m2|RE/MAX Capital|https://www.remax.com.ec/listings/venta-departamento-pinar-alto-135m2
210000|213|González Suárez S/N|12228|9647|4|2|Departamento de venta en Yoo de Quito|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/departamento-de-venta-en-yoo-de-quito
128000|110|Real Audiencia Oe3 Edificio Malaga Piso 6, Dep. 607 S/N|13389|13389|8|2|VENTA DEPARTAMENTO PONCEANO|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/venta-departamento-ponceano
78000|60|Calle 10 y Francisco Dalmau S/N|134|109|5|2|DEPARTAMENTO DE VENTA EN EL PONCEANO|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/departamento-de-venta-en-el-ponceano
46000|20|Avenida la Gasca 0|79|67|3|2|Departamento en Venta 67 m² en La Gasca|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/departamento-en-venta-67-m-en-la-gasca
86000|120|Edif Cosmopolitan Suites Luxemburgo y Portugal S/N|7304|60|3|1|SUITE EN VENTA EDIF COSMOPOLITAN SUITES|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/suite-en-venta-edif-cosmopolitan-suites
80000|80|Pedro Sarmiento de Gamboa S/N|7431|52|2|1|QUITO TENIS SUITE 52 M2 CON BALCÓN|RE/MAX Capital|https://www.remax.com.ec/listings/quito-tenis-suite-52-m2-con-balcon
48000|30|Quitumbe ñan S/N|96|75|6|1|Departamento de Venta en Quitumbe|RE/MAX Impacta|https://www.remax.com.ec/listings/departamento-de-venta-en-quitumbe
148900|66|Rumipamba S/N|100|86|8|2|SE VENDE DEPARTAMENTO UBICADO EN CENTRO NORTE|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/se-vende-departamento-ubicado-en-centro-norte
78000|N/A|6 de Diciembre S/N|3524|3524|2|1|Suite Estudio en venta piso 16 Edific Pet-Friendly|RE/MAX Capital|https://www.remax.com.ec/listings/suite-estudio-en-venta-piso-16-edific-pet-friendly-1
92000|N/A|6 de Diciembre S/N|4749|4006|2|1|Suite Estudio en venta piso 14 Edific Pet-Friendly|RE/MAX Capital|https://www.remax.com.ec/listings/suite-estudio-en-venta-piso-14-edific-pet-friendly
66000|N/A|6 de Diciembre S/N|3151|3151|2|1|Suite Estudio en venta piso 17 Edific Pet-Friendly|RE/MAX Capital|https://www.remax.com.ec/listings/suite-estudio-en-venta-piso-17-edific-pet-friendly
95000|N/A|Av la Prensa y Esequiel Márquez S/N|92|92|3|2|Venta Departamento Sector Condado Shopping|RE/MAX Capital|https://www.remax.com.ec/listings/venta-departamento-sector-condado-shopping
110000|N/A|9 de Julio S/N|210|127|5|2|Departamento De Venta En El Portal De San Isidro|RE/MAX Capital|https://www.remax.com.ec/listings/departamento-de-venta-en-el-portal-de-san-isidro
137000|N/A|Vía a Nayón S/N|224|100|4|2|Departamento de Venta en Cumbayá|RE/MAX Capital|https://www.remax.com.ec/listings/departamento-de-venta-en-cumbaya
