Precio,Ubicación,Ciudad,Expensas,Habitaciones,Baños,Área,Estacionamientos,Precio/m²,Fecha de Publicación,Descripción,Logo Agencia,Destacado
USD 289.000,GRANDA CENTENO,"Granda Centeno, Quito",USD 230 Alícuota,4 hab.,4 baños,380 m² tot.,3 estac.,N/A,N/A,"Se vende departamento sector granda centeno. 335 M2 habitables mas tres parqueaderos cubiertos Y una bodega de 15 M2. Cuarto piso con ascensor. Cuatro dormitorios con baño completo Y vestidor cada uno, sala, sala de estar, area de maquinas, baño social, dos comedores, cocina, calefon A gas. Valor del inmueble: $289. 000. alicuota: $230 cubre conserje Y areas comunales. Areas comunales: 600 M2 de jardines, cancha de squash, area bbq, juegos infantiles, sauna, turco, sala comunal, gimnasio, guardiania 24/7",./Plusvalia_raw_p45_060924_2243_files/logo_valerie-zabala_1612475495235.jpg,Super destacado
USD 105.000,Santa Lucía Alta,"Santa Lucía Alta, Quito",,3 hab.,2 baños,125 m² tot.,2 estac.,N/A,N/A,"El departamento tiene 93 metros de construcción, 4 años de construcción y está en el 2 piso. Tiene 3 dormitorios, dos baños completos, sala de tv, sala, comedor, cocina, balcón, bodega y 2 parqueaderos. Está dentro de un condominio con guardia 24/7, ascensor, sala comunal, gimnasio, sauna y bbq. Su precio es de $ 105. 000 dólares. Cualquier información comunicarse con el teléfono 0 9 9 8 2 6 5 4 6 4.",./Plusvalia_raw_p45_060924_2243_files/logo_maria-dolores-toledo-dominguez_0.jpg,Super destacado
USD 180.000,Atahualpa y Nuñez de Vela,"La Carolina, Quito",,4 hab.,3 baños,327 m² tot.,2 estac.,N/A,N/A,* Ubicado diagonal al Centro de Exposiciones Quito. * Super amplio. * 4to. Piso. * Ascensor directo al departamento. * Un departamento por piso. * Linda Vista. * 327 metros de construcción. * Sala-comedor y cocina amplios. * 4 dormitorios. * estudio. * 3 baños y medio. * sala de estar. * Terraza propia. * Area de maquinas. Inversionistas /extranjeros Y mas. precio fijo no negociable.,./Plusvalia_raw_p45_060924_2243_files/logo_mundi-inmobiliaria_1680228774953.jpg,Super destacado
USD 98.724,Reinaldo Espinosa y Francisco  Arevalo,"Monteserrín, Quito",USD 80 Alícuota,2 hab.,2 baños,101 m² tot.,1 estac.,N/A,N/A,"Departamentos de 2 Dormitorios en Venta, Monteserrin Sector Norte - Nao 2. Edificio Exclusivo de 6 pisos de altura ubicado en Monteserrín, una de las zonas de más alta plusvalía. . con servicio de transporte a su alcanceUna zona residencial donde ud encontrará: - Unidades Educativas. - Bancos- Zonas de comercio- Supermercados. Nao 2 le ofrece: - departamentos de 3 habitaciones desde $147. 100 desde 108m2- departamentos de 2 habitaciones desde $98. 700 desde 78 m2 mas 23 m2 de terraza y suites desde $76. 500 desde 60, 70 m2 mas dos terrazas privadas. Todos con área de balcones o patios y amplios espacios para que pueda disfrutar de una mejor calidad de vida. Además le ofrece zonas de relax y descanso para compartir con su familia como: - Terraza bbq apergolada para que pueda disfrutar sin preocupaciones de una exquisita comida con familiares y amigos. Tambien cuenta con: - Salón Comunal- Elegante Hall de ingreso. - Ascensor de alta velocidad. - Parqueaderos de Visitas-Gimnasio. Nuevas Raíces, Nuevos Sueños. Agenda tu cita ya!",./Plusvalia_raw_p45_060924_2243_files/logo_nuevas-raices-inmobiliaria_1713915431843.jpg,Super destacado
USD 145.000,Urbanización cerca de Colegio Aleman,"Cumbayá, Quito",USD 120 Alícuota,2 hab.,2 baños,135 m² tot.,2 estac.,N/A,N/A,"Vendo duplex 2 Dorm. Sector Colegio Alemán/Cumbaya, dentro de urbanización cerrada, seguridad privada, 133 m2. Incluye jardin privado de 36 m2. Urbanización cuenta con amplias áreas de recreación privado. Dormitorio Master y dormitorio secundario con baño completo cada uno, 1 baño social, sala, comedor y cocina tipo americano, jacuzzi, 2 parqueaderos cubiertos, edificio con ascensor, área comunal, bbq y juegos infantiles. La urbanización tambien cuenta con área comunal amplia, con juegos infantiles, ️canchas deportivas, área de bbq. Alícuota $120",./Plusvalia_raw_p45_060924_2243_files/logo_inmorealty_1610461503605.jpg,Super destacado
USD 110.000,el pinar,"El Pinar, Quito",USD 45 Alícuota,2 hab.,2 baños,105 m² tot.,1 estac.,N/A,N/A,"¡Tu nuevo hogar en el sector del Pinar! Hermoso departamento de 2 habitaciones con closeth, paqueadero y bodega por estrenar al Norte de Quito, sector El Pinar. Excelentes acabados: El piso flotante, cerámica en la cocina proporcionan un ambiente elegante y fácil de mantener. Baños de porcelanato añaden un toque de lujo. Cocina equipada, línea blanca, cuarto de máquinas. 1 parqueadero y 1 bodega. Ubicación estratégica, cercano al parque Bicentenario, instituciones educativas, Colegio Ecuatoriano Suizo, el Colegio Los Pinos y el ide Business School, Supermaxi, acceso a varias líneas de transporte público. Características del edificio: Con solo 4 años de construcción, se encuentra en perfecto estado. Un ascensor. Video vigilancia. Terraza con vista panorámica y zona bbq. Sistema de cisterna y bomba eléctrica. El lugar ideal para que tu familia cree recuerdos inolvidables y disfrute de la comodidad y el estilo que merece.",./Plusvalia_raw_p45_060924_2243_files/logo_remax-capital_1713196405746.jpg,Destacado
USD 130.000,Manuel Barreto,"González Suárez, Quito",USD 115 Alícuota,3 hab.,2 baños,132 m² tot.,2 estac.,N/A,N/A,Departamento de 120 metros de construcción. Terraza de 12 metros. Dos dormitorios cada uno con baño. Baño social. Pequeño estudio. Sala comedor. Cocina con área de maquinas. 2 parqueaderos. Bodega. Segundo piso. Planta propia para todo el edificio. Todo es eléctrico. Terraza comunal. bbq. Cancha de scuash. Guardiania 24 horas. Conserje. 14 años de construcción. 130. 000 dólares negociables,./Plusvalia_raw_p45_060924_2243_files/logo_cedros_1602037936750.jpg,Destacado
USD 100.000,Calle Amagasí,"Amagasí, Quito",USD 40 Alícuota,2 hab.,2 baños,167 m² tot.,1 estac.,N/A,N/A,"Cómodo apartamento de 144m2 de construcción útil implantado en el piso 3 de un Edificio de 4 pisos, sin ascensor, con 17 años de antigüedad, ubicado dentro de Urbanización, que cuenta con seguridad 24/7, dos parques con juegos infantiles, cancha de uso múltiple y sala comunal, en el sector residencial de Amagasí, muy cerca a los colegios sek, Martim Cereré, Tomás Moro, etc. , tras la Embajada Americana. El apartamento además de gozar de entrada de luz natural, está muy bien mantenido, tiene buenos acabados y cuenta con los siguientes ambientes: * Hall recibidor con piso de madera lacada. * Sala Comedor, amplia, con piso de madera, buen ingreso de luz. * Baño social con ventana para mejor ventilación. * Sala de Estar o Estudio. * Dormitorio máster, espacioso, con walking closet y baño completo, tiene vista hacia el oriente, lo que permite el ingreso de sol desde la mañana. * Dos Dormitorios con clóset, que comparten un baño completo, ventanas con vista hacia el oriente. * Baño completo con ventana que permite una mejor ventilación natural. * Cocina semi-abierta con muebles altos y bajos, lavaplatos de doble pozo y al fondo un área para desayunador de diario o para área de máquinas. * Secadero en terraza, techado y con puerta, con conexiones para lavadora secadora. * Bodega y/o Cuarto de empleada, en terraza. Contácteme para agendar una visita!.",./Plusvalia_raw_p45_060924_2243_files/logo_inmoimpakto-inmobiliaria_1606316253342.jpg,Destacado
USD 184.900,La Primavera,"La Primavera, Quito",USD 148 Alícuota,3 hab.,2 baños,164 m² tot.,2 estac.,N/A,N/A,"Cumbayá, el sector de mayor plusvalía y comodidad en la ciudad, rodeado de servicios como Centros Comerciales, colegios, farmacias, supermercados, restaurantes, etc. Edificio de Lujo, conjunto residencial familiar, moderno con áreas comunales como: Piscina, Jacuzzi, Sauna, turco, gimnasio, sala de juegos, área bbq, seguridad 24/7, elegante recibidor, ascensor, generador eléctrico para todo el edificio, cisterna. El departamento cuenta con sala, comedor, cocina tipo americana con desayunador, dormitorio máster con baño privado y sal-in closet, 1 dormitorio adicional, 1 baño completo. En el segundo piso amplia terraza privada con maravillosa vista, área bbe área de. maquinas, bario socialy aceso directo desde el ascensor. acabados de alta gama: Pisos de porcelanato, dormitorios con piso flotante, amplios clósets, baños con mesones de mármol, cocina con muebles altos y bajos, mesones de granito negro, plancha de inducción, campana extractora de olores, horno empotrado, microondas, lavavajillas, persianas con control remoto, elegantes lamparas, iluminación. led empotrada. Área Habitable: 112. 34 m2. Área Abierta: 52. 32 m2. Antigüedad: 7 años. Parqueaderos: 2 cubiertos, con acceso independiente cada uno. Bodega: 1. Piso: 3ero. Alícuota: $148. Precio de Venta: $184. 900. contacto: Ver datos. Karla Rivera",./Plusvalia_raw_p45_060924_2243_files/logo_re-max-asesoria-inmobiliaria_1724768437098.jpg,Destacado
USD 175.000,Rodrigo Muriel Iñaquito alto,"Rumipamba, Quito",,3 hab.,2 baños,133 m² tot.,2 estac.,N/A,N/A,"Exclusivo y elegante departamento en el edificio Amarhu, 4to piso en la Urbanización Iñaquito Alto. El departamento tiene: -106m2 de construcción. -3 dormitorios. -2 1/2 baños. -Balcón. -Amplia Sala. -Comedor. -amplia cocina. -Su precio de usd$167. 320 con un parqueadero. -con 2 parqueaderos $175. 000 y. -la posibilidad de un tercer parqueadero a mitad de precio. Por la compra del departamento te lo equipamos con: *Cocina de Inducción. *Campana de Extracción. *Horno. *Iluminación General. *Cortinas de Baño en vidrio laminado. *Cortinas Decorativas. Amenities. -amplias áreas verdes. -variadas áreas comunales. -acabados de lujo. *Parqueaderos de visitas en subsuelos. *Estación de guardia. *Vestíbulo de ingreso tipo lounge. *Salón comunal para eventos con terraza y bbq. *Gimnasio equipado. *Salón infantil. *Sala de cine. *Piscina y Jacuzzi. *Terrazas ajardinadas. *Patio y zona recreativa",./Plusvalia_raw_p45_060924_2243_files/logo_inmoplus_1714065974618.jpg,Destacado
USD 290.000,Quito Tenis Golf Club,"Quito Tenis, Quito",USD 450 Alícuota,3 hab.,3 baños,403 m² tot.,4 estac.,N/A,N/A,"Sector exclusivo de quito tenis golf club. 403Mt Construidos. <. en edificio de lujo con excelente mantenimiento Piso 11- Vista 270 Grados. Aprecias los 6 volcanes. Sala doble - Una con Chimenea a leña. Amplio Comedor. Cocina cerrada con comedor auxiliar. Estudio. 3 habitaciones muy amplias con baño Baño. Sala de tv en habitaciones. Cuarto de servicio con baño. Cuarto de maquinas. 3 bodegas. 4 parqueaderos. Amenities del Edificio: Piscina Temperada 24/7, Jacuzzi, Turco, Ecuavoley, bbq, Salas de reuniones, Billar, Ping pon / Squash. Parqueaderos de Visitas. Recepción. Seguridad 24/7",./Plusvalia_raw_p45_060924_2243_files/logo_re-max-asesoria-inmobiliaria_1724768437098.jpg,Destacado
