Precio|Expensas|Dirección|Superficie Total (m²)|Superficie Cubierta (m²)|Ambientes|Baños|Descripción|Agencia|URL Propiedad
80000|90|El Bosque S/N|69|56|4|1|VENDO SUITE EN EDIFICIO TORRES DEL BOSQUE|RE/MAX Futuro|https://www.remax.com.ec/listings/vendo-suite-en-edificio-torres-del-bosque
63000|20|De los Juncos S/N|8795|7608|5|2|Venta Depto. por estrenar - Collaloma|RE/MAX Advance|https://www.remax.com.ec/listings/venta-depto-por-estrenar-collaloma
35000|20|Juan Pio Montufar S/N|7768|7768|3|1|Departamento Duplex 2D en venta - Pomasqui|RE/MAX Impacta|https://www.remax.com.ec/listings/departamento-duplex-2d-en-venta-pomasqui
80000|20|De Las Cucardas S/N|1165|11125|4|1|DEPARTAMENTO DE 116.50 M2 - SAN ISIDRO DEL INCA|RE/MAX Capital|https://www.remax.com.ec/listings/departamento-de-116-50-m2-san-isidro-del-inca
55000|45|Av. Real Audiencia y Francisco Dalmau S/N|59|47|3|1|SUITE AMOBLADA EN VENTA PONCEANO ALTO|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/suite-amoblada-en-venta-ponceano-alto
145000|140|Ponceabo Alto - Mariano Pozo y N70c S/N|178|147|7|2|DEPARTAMENTO EN VENTA EDIFICIO NAVARRA PONCEANO|RE/MAX Advance|https://www.remax.com.ec/listings/departamento-en-venta-edificio-navarra-ponceano
138000|90|Avenida Naciones Unidas S/N|8072|6254|3|1|VENTA SUITE - EDIFICIO ONE - AMAZONAS Y NNUU|RE/MAX Advance|https://www.remax.com.ec/listings/venta-suite-edificio-one-amazonas-y-nnuu
57900|60|Av 10 de Agosto y Jeronimo Carrion S/N|127|127|4|2|DEPARTAMENTO EN VENTA, 2 DORMITORIOS, SANTA CLARA|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/departamento-en-venta-2-dormitorios-santa-clara
79900|30|Bernardo de Legarda S/N|145|141|7|3|DEPARTAMENTO EN VENTA COTOCOLLAO PLANTA BAJA/PATIO|RE/MAX Capital|https://www.remax.com.ec/listings/departamento-en-venta-cotocollao-planta-baja-patio
150000|125|La Tierra S/N|134|134|8|2|Departamento en Venta en Iñaquito cerca Quicentro|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/departamento-en-venta-en-inaquito-cerca-quicentro
144900|98|Juan Barrezueta y Jose Andrade S/N|158|158|7|2|Departamento de Venta 3hab : Sector Ponceano Alto|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/departamento-de-venta-3hab-sector-ponceano-alto
141000|178|La Carolina S/N|149|121|6|2|VENTA DEPARTAMENTO LA CAROLINA - 3 DORMITORIOS|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/venta-departamento-la-carolina-3-dormitorios
98000|15|Huachi S/N|25991|238|6|2|DEPARTAMENTO EN VENTA, COTOCOLLAO, 260m2.|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/departamento-en-venta-cotocollao-260m2
98000|N/A|Autopista General Rumiñahui S/N|175005|175000|4|2|Venta amplio departamento|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/venta-amplio-departamento
110000|88|Luxemburgo S/N|45|45|4|1|VENTA SUITE MODERNA CERCA A LA PORTUGAL|RE/MAX Asesoría Inmobiliaria|https://www.remax.com.ec/listings/venta-suite-moderna-cerca-a-la-portugal
1500947|40|Pasaje Dolomitas y de los Naranjos S/N|10733|10733|6|2|Cerca a monteserrin departamentos nuevos Bromelias|RE/MAX Capital|https://www.remax.com.ec/listings/cerca-a-monteserrin-departamentos-nuevos-bromelias-1
126176|40|Pasaje Dolomitas y de los Naranjos S/N|9514|9514|6|2|Departamento en Venta 2 dormitorios MonteserrinB04|RE/MAX Capital|https://www.remax.com.ec/listings/departamento-en-venta-2-dormitorios-monteserrinb04
150095|40|Pasaje Dolomitas y de los Naranjos S/N|10733|10733|6|2|Departamento Venta Monteserrin 3 dormitorios B02|RE/MAX Capital|https://www.remax.com.ec/listings/departamento-venta-monteserrin-3-dormitorios-b02
166116|40|Pasaje Dolomitas y de los Naranjos S/N|12191|12191|7|2|Departamento en Venta Monteserrin 3 dormitorios B1|RE/MAX Capital|https://www.remax.com.ec/listings/departamento-en-venta-monteserrin-3-dormitorios-b1
93013|40|Pasaje Dolomitas y de los Naranjos S/N|6552|6552|5|1|Suite en Venta Monteserrin 65,52 m2 A10|RE/MAX Capital|https://www.remax.com.ec/listings/suite-en-venta-monteserrin-65-52-m2-a10
97793|40|Pasaje Dolomitas y de los Naranjos S/N|699|699|5|1|Suite en Venta Monteserrin 69,90 m2|RE/MAX Capital|https://www.remax.com.ec/listings/suite-en-venta-monteserrin-69-90-m2
97793|40|Pasaje Dolomitas y de los Naranjos S/N|699|699|5|1|Suite en Venta Monteserrin 69,90m2 B13|RE/MAX Capital|https://www.remax.com.ec/listings/suite-en-venta-monteserrin-69-90m2-b13
89045|40|Pasaje Dolomitas y de los Naranjos S/N|6387|6387|5|1|Suite en Venta Monteserrin 63,87m2 A21|RE/MAX Capital|https://www.remax.com.ec/listings/suite-en-venta-monteserrin-63-87m2-a21
131824|40|Pasaje Dolomitas y de los Naranjos S/N|94123|94123|7|2|Departamento en Venta Monteserrin 94,12m2 B23|RE/MAX Capital|https://www.remax.com.ec/listings/departamento-en-venta-monteserrin-94-12m2-b23
